seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,,,,,,
11,3,0.861718655,0.01833415,0.000133038,1.8084023,2.688588142,16597.32879,,3,0.771683452,0.017346373,0.000394988,1.713026829,2.502451642,13176.28996
11,9,0.77549696,0.036957979,0.000749111,1.776642084,2.589846134,16575.55454,,9,0.775484107,0.028335264,0.000804424,1.730473933,2.535097728,13184.42597
11,15,0.798666954,0.042567968,0.004472971,1.766515017,2.61222291,16550.66229,,15,0.800816076,0.044970324,0.004600737,1.722522609,2.572909746,13212.01742
11,21,0.803728819,0.046581984,0.013236046,1.771090269,2.634637117,16597.40806,,21,0.821438253,0.058093669,0.015815303,1.724338725,2.61968595,13218.91292
11,27,0.821321964,0.05607295,0.036674738,1.789363623,2.703433275,16601.9019,,27,0.840225751,0.072548611,0.042086689,1.730865295,2.685726347,13227.64868
11,30,0.78640008,0.096109867,0.064464092,1.781808138,2.728782177,16772.79478,,30,0.85128263,0.083920565,0.063318069,1.731092746,2.72961401,13240.62645
11,45,0.909183264,0.102207899,0.294316053,1.778100729,3.083807945,16612.66868,,45,0.909341261,0.130163915,0.290584517,1.738785698,3.068875391,13258.77686
11,60,0.960803986,0.245411158,1.057797909,1.835368156,4.099381208,16875.19317,,60,0.971815157,0.196490762,0.915127444,1.751590316,3.83502368,13295.18605
11,90,1.061030149,0.323601007,4.233639002,1.811462879,7.429733038,16810.24216,,90,1.099921556,0.334890082,4.423072915,1.766637099,7.624521651,13328.49887
11,120,1.244156837,0.47808814,15.06523108,1.86107707,18.64855313,16889.774,,120,1.252776477,0.519914505,13.85056616,1.786265931,17.40952308,13396.1772
12,3,0.75071311,0.021023035,0.000393152,1.645792723,2.41792202,16232.73803,,,,,,,,
12,9,0.770366907,0.040385246,0.000574827,1.656945944,2.468272924,16292.96124,,,,,,,4758.342922,
12,15,0.783844233,0.061610937,0.004195213,1.659298658,2.508949041,16273.87354,,,,,,,4.758342922,
12,21,0.800571203,0.066047192,0.016885042,1.661605597,2.545109034,16300.30874,,,,,,,,
12,27,0.809309006,0.070472002,0.033508062,1.681035042,2.594324112,16289.55369,,,,,,,,
