seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,,,,,,
11,3,0.840086222,0.019909859,0.000128031,21.39518404,22.25530815,12314.93931,,3,0.752298994,0.017888787,0.000390677,21.61179547,22.38237392,9927.878844
11,9,0.752412319,0.033335686,0.000775814,19.11582327,19.90234709,12418.3141,,9,0.745893579,0.028667274,0.000815744,20.32522515,21.10060175,9958.851014
11,15,0.777821064,0.042491198,0.004691839,20.51832604,21.34333014,12439.72614,,15,0.778547468,0.044655147,0.004790821,19.93124396,20.7592374,9972.806409
11,21,0.829167128,0.055904865,0.016472101,20.52149081,21.42303491,12397.5581,,21,0.797026477,0.060283785,0.016526444,19.08737781,19.96121452,9979.594244
11,27,0.848546028,0.081308842,0.03989315,10.91406798,11.883816,12539.34302,,27,0.80866339,0.077964485,0.043963747,17.69700603,18.62759766,9990.465697
11,30,0.776247025,0.096137047,0.063030958,20.73241687,21.6678319,12387.57895,,30,0.815998604,0.087131047,0.065473287,16.8798221,17.84842504,10000.70656
11,45,0.875987053,0.103961229,0.336006165,9.336907625,10.65286207,12573.39724,,45,0.874397423,0.13073293,0.316672559,14.78371597,16.10551888,10031.40962
11,60,0.912448883,0.240926981,1.04706502,16.5407722,18.74121308,12466.77365,,60,0.936809566,0.204119306,0.976384382,14.1146185,16.23193175,10046.93352
11,90,1.040345192,0.335000753,4.729199171,10.97563267,17.08017778,12581.995,,90,1.048771522,0.346243987,4.767899718,10.5522924,16.71520763,10101.43509
11,120,1.205102921,0.491172075,15.19046402,5.163939953,22.05067897,12653.43657,,120,1.210319407,0.517565551,14.68665413,10.07745787,26.49199697,10133.11861
12,3,0.735140085,0.02302599,0.000509024,21.48656082,22.24523592,12196.79258,,,,,,,,
12,9,0.730824947,0.045117855,0.00115037,21.35066605,22.12775922,12202.44203,,,,,,,,
12,15,0.768004179,0.062917948,0.006536007,21.29410481,22.13156295,12225.03534,,,,,,,,
12,21,0.797886848,0.078151941,0.01936388,22.20825434,23.10365701,12221.35641,,,,,,,,
12,27,0.815461874,0.082771063,0.048585892,21.30082917,22.247648,12240.07048,,,,,,,,
12,30,0.804699898,0.10134697,0.063508034,17.1724143,18.1419692,12299.63686,,,,,,,,
12,45,0.854300976,0.207682848,0.359303236,20.90410304,22.3253901,12244.83285,,,,,,,,
12,60,0.91204977,0.170461893,0.897530079,10.90749145,12.88753319,12310.19844,,,,,,,,
12,90,1.040528774,0.359832048,4.470177889,6.497210264,12.36774898,12410.2689,,,,,,,,
12,120,1.162972927,0.523343325,13.88031006,9.742664814,25.30929112,12378.9214,,,,,,,,
13,3,0.744830847,0.020400763,0.000540257,22.14093304,22.9067049,12541.90646,,,,,,,,
13,9,0.752013206,0.022232771,0.00072813,11.80473685,12.57971096,12613.74848,,,,,,,,
13,15,0.780755281,0.025233269,0.00412488,12.16526556,12.97537899,12622.3803,,,,,,,,
13,21,0.78705287,0.050565243,0.015239954,11.90612793,12.758986,12628.81203,,,,,,,,
13,27,0.803680182,0.035697222,0.038897991,12.0510416,12.929317,12639.6214,,,,,,,,
