seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,,,,,,,,,,,,,,,
11,3,0.890030146,0.021784782,0.000110149,22.03432488,22.94624996,12065.17513,,3,0.758176227,0.017834535,0.000386181,21.97701567,22.75341262,10189.03335,,3,0.758176227,0.017834535,0.000386181,21.97701567,22.75341262,10189.03335,#DIV/0!
11,9,0.771358967,0.020996809,0.000743151,21.04938221,21.84248114,12127.55904,,9,0.756408868,0.028407548,0.00084676,20.91896909,21.70463227,10219.60238,,9,0.756408868,0.028407548,0.00084676,20.91896909,21.70463227,10219.60238,#DIV/0!
11,15,0.837303162,0.064628124,0.005670786,21.39344788,22.30104995,12071.94037,,15,0.787304623,0.043796225,0.004770267,20.21756172,21.05343283,10231.17122,,15,0.787304623,0.043796225,0.004770267,20.21756172,21.05343283,10231.17122,#DIV/0!
11,21,0.808669806,0.065982103,0.016059875,20.85937023,21.75008202,12069.91154,,21,0.805858142,0.061185615,0.016558921,19.05021377,19.93381645,10246.58789,,21,0.805858142,0.061185615,0.016558921,19.05021377,19.93381645,10246.58789,#DIV/0!
11,27,0.803489923,0.097596169,0.065727949,21.21965098,22.18646502,12089.647,,27,4.976030383,0.07762934,0.045118704,18.20486125,23.30363967,10257.25668,,27,4.976030383,0.07762934,0.045118704,18.20486125,19.14235382,10257.25668,#DIV/0!
11,30,0.790333986,0.060678005,0.061299324,15.34797239,16.26028371,12169.69693,,30,0.824080305,0.087734709,0.066568809,17.55921695,18.53760077,10265.48801,,30,0.824080305,0.087734709,0.066568809,17.55921695,18.53760077,10265.48801,#DIV/0!
11,45,0.940428019,0.146129847,0.321319103,14.45487094,15.86274791,12181.85186,,45,0.888480854,0.136522334,0.323634355,15.88408802,17.23272557,10291.35915,,45,0.888480854,0.136522334,0.323634355,15.88408802,17.23272557,10291.35915,#DIV/0!
11,60,0.975661993,0.201100826,0.938193083,14.99704504,17.11200094,12236.82024,,60,0.949919789,0.209552147,0.972617223,14.07487068,16.20695984,10322.57119,,60,0.949919789,0.209552147,0.972617223,14.07487068,16.20695984,10322.57119,#DIV/0!
11,90,1.062079191,0.362990856,4.682002068,12.13751793,18.24459004,12272.86433,,90,1.080251982,0.355288656,4.85864157,11.83576927,18.12995148,10367.35487,,90,1.080251982,0.355288656,4.85864157,11.83576927,18.12995148,10367.35487,#DIV/0!
11,120,1.219485998,0.565799952,15.99759889,13.10753918,30.89042401,12272.37917,,120,1.238257217,0.530616686,15.03926561,10.56770443,27.37584394,10403.97605,,120,1.238257217,0.530616686,15.03926561,10.56770443,27.37584394,10403.97605,#DIV/0!
12,3,0.772037029,0.020162106,0.000677109,22.06469464,22.85757089,12051.35428,,,,,,,,,,,,,,,,,
12,9,0.7852211,0.030755758,0.000963926,21.40469027,22.22163105,12112.8951,,,,,,,,,,,,,,,,,
12,15,0.785268068,0.03576088,0.004364014,21.26624417,22.09163713,12095.22165,,,,,,,,,,,,,,,,,
12,21,0.798527956,0.054862976,0.016211271,20.37157464,21.24117684,12117.30959,,,,,,,,,,,,,,,,,
12,27,0.829951048,0.094667196,0.044211864,20.35867405,21.32750416,12099.30121,,,,,,,,,,,,,,,,,
12,30,0.803073168,0.114439249,0.065411806,20.80063605,21.78356028,12163.88051,,,,,,,,,,,,,,,,,
12,45,0.871689796,0.135879755,0.305087805,18.97503376,20.28769112,12118.97413,,,,,,,,,,,,,,,,,
12,60,0.945670128,0.224054813,0.99580121,15.87303901,18.03856516,12253.81934,,,,,,,,,,,,,,,,,
12,90,1.04162097,0.362513304,5.175935984,17.3664608,23.94653106,12247.5059,,,,,,,,,,,,,,,,,
12,120,1.234719992,0.592110872,16.1824441,17.32154274,35.3308177,12255.08348,,,,,,,,,,,,,,,,,
13,3,0.74070096,0.010234118,0.000471115,21.5281167,22.2795229,12304.8325,,,,,,,,,,,,,,,,,
13,9,0.736519098,0.027549267,0.000854015,21.3689599,22.13388228,12347.99299,,,,,,,,,,,,,,,,,
13,15,0.779166222,0.036048889,0.004582882,21.06360292,21.88340092,12378.23468,,,,,,,,,,,,,,,,,
