seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,,,,,,
11,3,0.822310925,0.00938797,0.000128031,1.657078028,2.488904953,16923.52955,,3,0.748285334,0.018588703,0.000381989,1.645065255,2.412321281,12896.79726
11,9,0.745842934,0.038636208,0.000960112,1.633145809,2.418585062,17012.57138,,9,0.750104208,0.028863385,0.000825803,1.649128194,2.42892159,12908.33778
11,15,0.773823023,0.049212217,0.004184723,1.644471884,2.471691847,17072.59602,,15,0.772543209,0.043258786,0.004773426,1.65821244,2.478787861,12924.09709
11,21,0.781619072,0.07998085,0.020035267,1.63860178,2.520236969,17138.37579,,21,0.793526428,0.057972004,0.016626766,1.65799557,2.526120768,12942.25523
11,27,0.792742252,0.076922894,0.041842937,1.663945913,2.575453997,17176.89793,,27,0.810385845,0.076497076,0.04399775,1.659177246,2.590057917,12952.04193
11,30,0.816112041,0.091117144,0.062049866,1.659958839,2.62923789,17191.99903,,30,0.823999093,0.085363576,0.065838525,1.663287463,2.638488657,12962.00234
11,45,0.885910034,0.182538986,0.320925951,1.671255112,3.060630083,17210.85001,,45,0.877222402,0.139037988,0.326052709,1.673289557,3.015602655,12988.57894
11,60,0.952372074,0.166496992,1.016774893,1.700516939,3.836160898,17258.31197,,60,0.936012089,0.19944011,0.985562506,1.684384224,3.805398929,13021.70334
11,90,1.196960926,0.389672041,4.770109892,1.750708103,8.107450962,17269.53353,,90,1.062485013,0.341637626,4.812453194,1.70106847,7.917644303,13067.49296
11,120,1.268574953,0.496754885,15.18029213,1.712116003,18.65773797,17375.61339,,120,1.214795613,0.525822253,14.87590923,1.722827506,18.3393546,13106.45656
12,3,0.732536793,0.016508102,0.000509024,1.567876101,2.317430019,16046.47227,,,,,,,,
12,9,0.759045124,0.033591032,0.000780821,1.584527969,2.377944946,16010.18931,,,,,,,4815.269856,
12,15,0.794135094,0.050698757,0.004670143,1.598397017,2.447901011,16017.38416,,,,,,,4.815269856,
12,21,0.812382936,0.063689947,0.015766859,1.590058327,2.481898069,16050.21952,,,,,,,,
12,27,0.815516233,0.083461046,0.049559116,1.59423542,2.542771816,16066.24146,,,,,,,,
12,30,0.807580233,0.098563194,0.059100866,1.59217453,2.557418823,16214.32531,,,,,,,,
12,45,0.855087042,0.131386042,0.314009905,1.595071077,2.895554066,16214.69503,,,,,,,,
12,60,0.918241024,0.1787889,0.957892179,1.61456275,3.669484854,16329.12077,,,,,,,,
12,90,1.04197979,0.34194994,4.616988182,1.623892069,7.62480998,16444.03692,,,,,,,,
12,120,1.227640152,0.54598403,13.73813391,1.673474789,17.18523288,16405.63536,,,,,,,,
13,3,0.771336794,0.024312735,0.000519037,1.752811432,2.548979998,17493.26073,,,,,,,,
13,9,0.759912968,0.032688856,0.000886917,1.744065285,2.537554026,17414.58939,,,,,,,,
13,15,0.755988121,0.03832984,0.004251242,1.767095804,2.565665007,17495.35711,,,,,,,,
13,21,0.792448044,0.03984189,0.014872789,1.745453119,2.592615843,17473.18993,,,,,,,,
13,27,0.803735971,0.047645807,0.044015884,1.742461205,2.637858868,17499.68547,,,,,,,,
13,30,0.815209866,0.0779562,0.085613966,1.731827021,2.710607052,17546.77114,,,,,,,,
13,45,0.85300684,0.179505825,0.369220018,1.802397251,3.204129934,17637.1564,,,,,,,,
13,60,0.959177971,0.204108,0.916235924,1.767757893,3.847279787,17568.26632,,,,,,,,
13,90,1.076820135,0.311782837,4.80452013,1.795796871,7.988919973,17549.99602,,,,,,,,
13,120,1.190126896,0.516741037,15.8065958,1.81360507,19.32706881,17603.67767,,,,,,,,
14,3,0.726415873,0.021201134,0.000411749,1.558567286,2.306596041,8115.907229,,,,,,,,
14,9,0.763972998,0.039170027,0.00085187,1.575256109,2.379251003,8085.324023,,,,,,,,
14,15,0.737092018,0.017838717,0.004323006,1.569565058,2.328818798,8078.173661,,,,,,,,
14,21,0.784584999,0.051789999,0.015499115,1.577031851,2.428905964,8125.091129,,,,,,,,
14,27,0.807939053,0.081672907,0.044478178,1.585627079,2.519717216,8184.987209,,,,,,,,
14,30,0.808452129,0.089329958,0.06009984,1.586259842,2.544141769,8127.651842,,,,,,,,
14,45,0.887444258,0.154780149,0.336098909,1.592907667,2.971230984,8173.532714,,,,,,,,
14,60,0.935714006,0.208329916,0.968463182,1.593948841,3.706455946,8214.191553,,,,,,,,
14,90,1.033540964,0.352110863,4.978775024,1.661772251,8.026199102,8279.240648,,,,,,,,
14,120,1.190364122,0.543091297,16.26350498,1.640249491,19.63720989,8287.15126,,,,,,,,
15,3,0.733215094,0.023738861,0.000346184,1.619826794,2.377126932,13675.44701,,,,,,,,
15,9,0.739330053,0.022696018,0.000818253,1.634266376,2.397110701,13649.84299,,,,,,,,
15,15,0.764014006,0.023626089,0.004392862,1.656784058,2.448817015,13674.8417,,,,,,,,
15,21,0.78361392,0.081594229,0.016633987,1.637337923,2.519180059,13737.33501,,,,,,,,
15,27,0.808609962,0.08306694,0.040199041,1.651770115,2.583646059,13728.17523,,,,,,,,
15,30,0.833753109,0.081180811,0.059890747,1.656648159,2.631472826,13769.19791,,,,,,,,
15,45,0.862642288,0.155777931,0.340659857,1.66751194,3.026592016,13799.77821,,,,,,,,
15,60,0.915063858,0.203421116,0.994241953,1.745035887,3.857762814,13790.41148,,,,,,,,
15,90,1.081134081,0.410432816,4.438282967,1.701034069,7.630883932,13821.40574,,,,,,,,
15,120,1.20521307,0.480527878,15.56045794,1.703513384,18.94971228,13910.17275,,,,,,,,
16,3,0.746037006,0.020020962,0.000375986,1.630576849,2.397010803,16315.73428,,,,,,,,
16,9,0.763376236,0.018759966,0.000757933,1.639983892,2.422878027,16240.18166,,,,,,,,
16,15,0.766993999,0.036458969,0.004653215,1.643462896,2.45156908,16341.08469,,,,,,,,
16,21,0.770281076,0.062805176,0.015019894,1.638694763,2.486800909,16318.76584,,,,,,,,
16,27,0.804891109,0.064038992,0.039391041,1.657605886,2.565927029,16275.14279,,,,,,,,
16,30,0.831937075,0.055114985,0.060353994,1.662549734,2.609955788,16133.16761,,,,,,,,
16,45,0.850861073,0.139171839,0.325651884,1.660412312,2.976097107,16405.0091,,,,,,,,
16,60,0.911955118,0.147508144,0.933211803,1.674052954,3.66672802,16194.80355,,,,,,,,
16,90,1.004935026,0.341701984,4.742680073,1.690992117,7.7803092,16417.64935,,,,,,,,
16,120,1.202232122,0.524219036,14.36517715,1.711893559,17.80352187,16451.87363,,,,,,,,
17,3,0.752374887,0.023915052,0.000329018,1.635262012,2.41188097,10997.82237,,,,,,,,
17,9,0.751603842,0.022240877,0.000739813,1.663542509,2.438127041,11009.40234,,,,,,,,
17,15,0.763334274,0.017037868,0.004135847,1.634582758,2.419090748,11086.73299,,,,,,,,
17,21,0.757334948,0.022037983,0.014727354,1.636108875,2.43020916,11082.55318,,,,,,,,
17,27,0.794628859,0.10388422,0.044523001,1.63674283,2.57977891,11103.48898,,,,,,,,
17,30,0.848509073,0.055052996,0.060401917,1.651896238,2.615860224,10990.83708,,,,,,,,
17,45,0.856924772,0.210347176,0.353479862,1.65469718,3.07544899,11066.77284,,,,,,,,
17,60,0.916566849,0.263619184,1.10789609,1.672357559,3.960439682,11153.29737,,,,,,,,
17,90,1.026601076,0.376175165,4.609390736,1.672005177,7.684172153,11201.44536,,,,,,,,
17,120,1.168060064,0.579197884,14.77729011,1.675035954,18.19958401,11202.80672,,,,,,,,
18,3,0.738910913,0.020030975,0.000538826,1.613385439,2.372866154,12795.89124,,,,,,,,
18,9,0.72441864,0.034728289,0.000876904,1.604398251,2.364422083,12777.51119,,,,,,,,
18,15,0.763990879,0.032866001,0.006167889,1.61771512,2.420739889,12800.10966,,,,,,,,
18,21,0.782133102,0.03820014,0.016287088,1.627085686,2.463706017,12770.023,,,,,,,,
18,27,0.778829098,0.073510885,0.042154074,1.628921986,2.523416042,12800.20355,,,,,,,,
18,30,0.848843098,0.118759871,0.069688082,1.674691677,2.711982727,12894.27003,,,,,,,,
18,45,0.861442089,0.141899109,0.345132828,1.643593073,2.992067099,12878.6221,,,,,,,,
18,60,0.924021959,0.187999964,0.907457113,1.656889915,3.676368952,12922.57096,,,,,,,,
18,90,1.199887276,0.385918856,4.705081701,1.702727318,7.99361515,12881.16761,,,,,,,,
18,120,1.197734356,0.573180914,14.67793703,1.664038897,18.1128912,13004.64609,,,,,,,,
19,3,0.782978058,0.012329102,0.000351906,1.623327017,2.418986082,12947.68228,,,,,,,,
19,9,0.873672962,0.043775082,0.000990868,1.645448208,2.563887119,12975.98135,,,,,,,,
19,15,0.786062956,0.037659883,0.004365921,1.604030132,2.432118893,13003.47055,,,,,,,,
19,21,0.785702944,0.067070007,0.019417286,1.611763716,2.483953953,13069.37541,,,,,,,,
19,27,0.798556089,0.098457098,0.048657894,1.619407892,2.565078974,13092.2943,,,,,,,,
19,30,0.814853907,0.102155924,0.071329117,1.620080709,2.608419657,12989.85004,,,,,,,,
19,45,0.871289968,0.171092033,0.345798969,1.633293152,3.021474123,13170.20503,,,,,,,,
19,60,0.96794796,0.174622774,0.967509985,1.638024092,3.748104811,13118.05146,,,,,,,,
19,90,1.075587034,0.332437038,4.672796249,1.645191908,7.72601223,13151.34349,,,,,,,,
19,120,1.247956038,0.530977011,15.830338,1.695912838,19.30518389,13108.4302,,,,,,,,
20,3,0.744276047,0.023537874,0.000380039,1.669744015,2.437937975,12998.28995,,,,,,,,
20,9,0.840812206,0.024982929,0.000746965,1.669627905,2.536170006,13105.81982,,,,,,,,
20,15,0.863688946,0.032950878,0.004469872,1.717526197,2.618635893,13052.17356,,,,,,,,
20,21,0.806377888,0.038818121,0.016412973,1.662203789,2.523812771,13058.28218,,,,,,,,
20,27,0.832561255,0.096803904,0.044676065,1.665534019,2.639575243,13066.13145,,,,,,,,
20,30,0.852076769,0.101647139,0.07497716,1.683496952,2.712198019,13036.22283,,,,,,,,
20,45,0.988105774,0.20030117,0.340365887,1.710362196,3.239135027,13126.78858,,,,,,,,
20,60,1.00909996,0.224957943,1.107847929,1.705062389,4.046968222,13119.17634,,,,,,,,
20,90,1.061401129,0.333722115,5.120681047,1.714458704,8.230262995,13059.55032,,,,,,,,
20,120,1.198613167,0.530566216,14.85144711,1.723026514,18.303653,13202.52273,,,,,,,,
21,3,0.765859127,0.025411844,0.000363111,1.664793968,2.456428051,13762.49525,,,,,,,,
21,9,0.730469227,0.030991077,0.000758171,1.687967539,2.450186014,13728.36989,,,,,,,,
21,15,0.835120201,0.042557955,0.005240917,1.709290743,2.592209816,13735.77479,,,,,,,,
21,21,0.858014107,0.049899101,0.016334057,1.701656818,2.625904083,13708.3726,,,,,,,,
21,27,0.847920179,0.062748909,0.046036959,1.695621014,2.652327061,13723.3224,,,,,,,,
21,30,0.855247021,0.104336977,0.063719273,1.720553637,2.743856907,13790.26603,,,,,,,,
21,45,0.881145,0.13495183,0.320573092,1.688312054,3.024981976,13765.34337,,,,,,,,
21,60,0.949424028,0.215981007,0.975545168,1.699481487,3.84043169,13869.60798,,,,,,,,
21,90,1.043838978,0.355890274,4.954580069,1.712581635,8.066890955,13859.00467,,,,,,,,
21,120,1.21584177,0.524417162,16.05149484,1.731426477,19.52318025,13940.23425,,,,,,,,
22,3,0.779975176,0.023428917,0.000335217,1.639229536,2.442968845,14268.55454,,,,,,,,
22,9,0.780422926,0.026684999,0.000756979,1.670161963,2.478026867,14315.67365,,,,,,,,
22,15,0.802126646,0.06730032,0.006029129,1.678832769,2.554288864,14312.70308,,,,,,,,
22,21,0.806180239,0.089180946,0.01821208,1.72535491,2.638928175,14386.96171,,,,,,,,
22,27,0.775192976,0.06639576,0.039640188,1.678841114,2.560070038,14195.38351,,,,,,,,
22,30,0.837696075,0.109558105,0.062651873,1.682921886,2.69282794,14391.70405,,,,,,,,
22,45,0.850509882,0.149797201,0.31117487,1.688563824,3.000045776,14261.50389,,,,,,,,
22,60,0.936003685,0.200778961,0.977223158,1.699529171,3.813534975,14400.68924,,,,,,,,
22,90,1.067216873,0.336123943,4.499838352,1.7287848,7.631963968,14368.26495,,,,,,,,
22,120,1.254695177,0.543948174,14.5425992,1.749865532,18.09110808,14482.42947,,,,,,,,
23,3,0.720180988,0.011480093,0.0003438,1.573590994,2.305595875,13086.4079,,,,,,,,
23,9,0.734699965,0.018694878,0.000727177,1.589577913,2.343699932,13108.68094,,,,,,,,
23,15,0.777743816,0.070609331,0.00440383,1.615741253,2.46849823,13214.00732,,,,,,,,
23,21,0.795077085,0.092489958,0.01543808,1.610235929,2.513241053,13079.83345,,,,,,,,
23,27,0.793058157,0.054349184,0.042574883,1.622042656,2.512024879,13109.38949,,,,,,,,
23,30,0.807854176,0.051331758,0.059463263,1.612007856,2.530657053,13185.38718,,,,,,,,
23,45,0.843554974,0.104180336,0.327118158,1.620057583,2.894911051,13099.38981,,,,,,,,
23,60,0.950459957,0.228132963,1.079090357,1.620837927,3.878521204,13254.05811,,,,,,,,
23,90,1.074701071,0.357429981,5.095361948,1.641585112,8.169078112,13310.02191,,,,,,,,
23,120,1.212598085,0.55958724,15.11811614,1.664556742,18.55485821,13275.19641,,,,,,,,
24,3,0.792983055,0.011343241,0.0003438,1.59452796,2.399198055,10890.52482,,,,,,,,
24,9,0.743142843,0.02483511,0.000839949,1.590254068,2.35907197,10909.42518,,,,,,,,
24,15,0.794209957,0.028532028,0.004724979,1.595173836,2.4226408,10894.09346,,,,,,,,
24,21,0.786998749,0.040995121,0.015131235,1.590697765,2.43382287,10904.17455,,,,,,,,
24,27,0.804943085,0.065078974,0.041260958,1.632986069,2.544269085,10920.28137,,,,,,,,
24,30,0.832521915,0.088632822,0.06080699,1.599738121,2.581699848,10928.23246,,,,,,,,
24,45,0.877507925,0.105509996,0.317996025,1.617218971,2.918232918,11026.2499,,,,,,,,
24,60,0.905234814,0.216953039,0.953261137,1.616394043,3.691843033,11029.01489,,,,,,,,
