seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,,,,,,
11,3,0.880115986,0.010480881,0.000122309,21.19048572,22.08120489,12247.81947,,3,0.759716966,0.016961298,0.000375106,21.57579337,22.35284674,9429.906028
11,9,0.777107954,0.038439035,0.001081228,22.33421159,23.15083981,12261.44849,,9,0.76234849,0.027860069,0.000808785,20.83468425,21.6257016,9435.855481
11,15,0.802729368,0.04746604,0.005573988,22.82620454,23.68197393,12271.80021,,15,0.792742763,0.042522371,0.004413068,20.22321184,21.06289004,9444.671865
11,21,0.852372885,0.078586817,0.018331051,22.53690505,23.4861958,12273.76115,,21,0.811873636,0.059775109,0.015290718,19.34438453,20.231324,9453.599547
11,27,0.845787048,0.085551739,0.041733027,17.04317713,18.01624894,12310.86329,,27,0.816256268,0.081020577,0.041407545,18.11907512,19.05775951,9468.499141
11,30,0.819016218,0.09257412,0.064852953,18.88264871,19.859092,12355.50799,,30,0.828677864,0.082929983,0.060052173,17.29670899,18.26836901,9476.578092
11,45,0.940823793,0.169055939,0.282647848,21.53642344,22.92895103,12303.77196,,45,0.890264792,0.134248986,0.295285592,15.74426713,17.0640665,9497.91679
11,60,1.03369379,0.184988976,0.94102788,8.13343358,10.29314423,12465.47084,,60,0.950966132,0.202919488,0.891492295,14.01399921,16.05937713,9525.479089
11,90,1.144309044,0.357663155,3.992116213,5.157057524,10.65114594,12652.97567,,90,1.061832078,0.339255405,4.362048228,11.53431403,17.29744974,9573.069485
11,120,1.313702822,0.509871721,13.651963,5.655495644,21.13103318,12712.10717,,120,1.215149865,0.511388438,13.62436441,10.67410783,26.02501054,9606.000194
12,3,0.780112028,0.015819073,0.000385761,22.2038362,23.00015306,11811.36364,,,,,,,,
12,9,0.785546064,0.036808014,0.000813007,22.13031077,22.95347786,11805.19318,,,,,,,,
12,15,0.830694914,0.054250956,0.005393982,24.21538591,25.10572577,11820.25033,,,,,,,,
12,21,0.866331816,0.067474842,0.014642954,20.61382341,21.56227303,11853.10198,,,,,,,,
12,27,0.868937016,0.090656042,0.041957855,17.46316004,18.46471095,11840.95819,,,,,,,,
12,30,0.91512394,0.078963995,0.064644814,13.61031699,14.66904974,11847.02069,,,,,,,,
12,45,1.007065773,0.152023077,0.376880169,15.54475975,17.08072877,11867.47726,,,,,,,,
12,60,0.968053102,0.18680501,0.837043762,19.51928329,21.51118517,11848.97733,,,,,,,,
12,90,1.117985964,0.33716774,4.431917906,9.038032532,14.92510414,11962.81883,,,,,,,,
12,120,1.205960989,0.54382062,12.74799395,14.75245929,29.25023484,11981.13935,,,,,,,,
13,3,0.773174047,0.021625042,0.000372887,22.39861393,23.19378591,12477.79237,,,,,,,,
13,9,0.795916796,0.032504082,0.000937939,21.85380626,22.68316507,12476.15682,,,,,,,,
13,15,0.843230009,0.035919905,0.004243851,21.55894017,22.44233394,12499.1312,,,,,,,,
13,21,0.818781853,0.039751053,0.013664007,21.12453222,21.99672914,12520.69271,,,,,,,,
13,27,0.819824219,0.045019865,0.038508892,22.4213841,23.32473707,12507.7213,,,,,,,,
13,30,0.914535046,0.096047878,0.05906105,11.99566603,13.06531,12547.85796,,,,,,,,
13,45,0.909505844,0.184159994,0.390377045,21.37323189,22.85727477,12517.784,,,,,,,,
13,60,1.003082037,0.212498903,0.898854256,7.9550457,10.0694809,12668.95192,,,,,,,,
13,90,1.071857929,0.321171284,4.605115175,17.81198859,23.81013298,12601.42483,,,,,,,,
13,120,1.215595007,0.528648138,13.38080883,11.06922197,26.19427395,12630.54932,,,,,,,,
14,3,0.752948999,0.021201849,0.000505924,22.1502533,22.92491007,6157.794395,,,,,,,,
14,9,0.73553896,0.034878969,0.000738144,21.42261982,22.19377589,6147.903893,,,,,,,,
14,15,0.775349855,0.017945051,0.004248142,21.53857374,22.33611679,6157.716126,,,,,,,,
14,21,0.796108723,0.055666208,0.013382196,19.53969002,20.40484715,6187.114231,,,,,,,,
14,27,0.821022987,0.083645344,0.041219234,18.56748915,19.51337671,6196.467668,,,,,,,,
14,30,0.806056261,0.093748093,0.058320761,11.25864291,12.21676803,6233.348662,,,,,,,,
14,45,0.855015993,0.153352261,0.365978956,18.89022994,20.26457715,6177.600787,,,,,,,,
14,60,0.927127123,0.233757019,0.921667099,18.83241677,20.91496801,6186.11525,,,,,,,,
14,90,1.025370121,0.37331295,4.664784908,12.30026507,18.36373305,6245.851486,,,,,,,,
14,120,1.198987961,0.548573971,14.19971991,14.54891324,30.49619508,6257.428306,,,,,,,,
15,3,0.800878048,0.02324295,0.000351906,22.23775554,23.06222844,9950.53513,,,,,,,,
15,9,0.770026922,0.021808147,0.000685692,21.52561522,22.31813598,9950.782447,,,,,,,,
15,15,0.817725182,0.026281118,0.004391909,21.45079374,22.29919195,9956.290384,,,,,,,,
15,21,0.810486078,0.081265926,0.015381813,21.45529103,22.36242485,9958.28404,,,,,,,,
15,27,0.809937239,0.084007025,0.038294077,21.08769178,22.01993012,9964.166016,,,,,,,,
15,30,0.822211027,0.081904888,0.061594009,17.96908402,18.93479395,10023.01283,,,,,,,,
15,45,0.869397879,0.133739948,0.296271801,19.53373647,20.8331461,10016.78338,,,,,,,,
15,60,1.156378984,0.280016899,1.005590916,11.75728726,14.19927406,10144.96768,,,,,,,,
15,90,1.052894115,0.326588869,3.804752111,6.308498859,11.49273396,10167.09762,,,,,,,,
15,120,1.183687925,0.476191998,13.78667498,13.83126616,29.27782106,10079.40066,,,,,,,,
16,3,0.745568037,0.019737959,0.000359058,21.53239489,22.29805994,11776.89909,,,,,,,,
16,9,0.765028954,0.017869949,0.000696659,21.12466335,21.90825891,11780.59317,,,,,,,,
16,15,0.784121037,0.032509089,0.004006863,19.7516191,20.57225609,11790.73807,,,,,,,,
16,21,0.792425871,0.078047991,0.014393806,20.49274158,21.37760925,11798.37192,,,,,,,,
16,27,0.817277908,0.062660933,0.036942959,20.73976922,21.65665102,11816.47479,,,,,,,,
16,30,0.83893609,0.051625967,0.056873083,9.701112747,10.64854789,11893.74871,,,,,,,,
16,45,0.894246817,0.113742113,0.297801971,20.25571322,21.56150413,11831.38646,,,,,,,,
16,60,0.962845325,0.134011984,0.868177891,11.9575696,13.9226048,11886.9425,,,,,,,,
16,90,1.038977146,0.343282938,4.230952978,16.61856008,22.23177314,11908.47312,,,,,,,,
16,120,1.183516026,0.512928009,13.00082588,9.907510281,24.6047802,11967.73906,,,,,,,,
17,3,0.764368773,0.020977974,0.000375986,21.46689034,22.25261307,8197.95264,,,,,,,,
17,9,0.744873762,0.022631884,0.000433207,21.54088998,22.30882883,8190.436533,,,,,,,,
17,15,0.768742085,0.01772213,0.003780127,19.02732754,19.81757188,8243.890931,,,,,,,,
17,21,0.788822174,0.021354198,0.014014959,18.93039584,19.75458717,8246.071107,,,,,,,,
17,27,0.798449993,0.121273041,0.039496899,19.03044319,19.98966312,8225.240431,,,,,,,,
17,30,0.837749958,0.05153513,0.052431822,6.717795849,7.659512758,8299.64321,,,,,,,,
17,45,0.888375044,0.182729006,0.283674717,19.64346814,20.99824691,8214.155221,,,,,,,,
17,60,0.962170124,0.261960268,1.033267975,19.42050076,21.67789912,8211.732272,,,,,,,,
17,90,1.053279161,0.367088318,4.364060879,19.17018175,24.95461011,8253.907827,,,,,,,,
17,120,1.229201078,0.558320761,13.32646394,10.62540197,25.73938775,8313.560809,,,,,,,,
18,3,0.739234924,0.018025875,0.000360012,21.53478003,22.29240084,9388.627325,,,,,,,,
18,9,0.737906933,0.031203032,0.000706196,21.38474488,22.15456104,9379.026822,,,,,,,,
18,15,0.806616783,0.032876015,0.005712748,22.40851545,23.253721,9384.708018,,,,,,,,
18,21,0.806637764,0.039112329,0.013209105,21.88092852,22.73988771,9394.573042,,,,,,,,
18,27,0.823586226,0.099483967,0.034291983,21.81464362,22.7720058,9380.175343,,,,,,,,
18,30,0.849957943,0.121084929,0.059271812,21.4269402,22.45725489,9359.065297,,,,,,,,
18,45,0.921247959,0.137192011,0.263870955,12.19305897,13.51536989,9423.663576,,,,,,,,
18,60,0.999782085,0.201661825,0.812991142,13.02564979,15.04008484,9447.717524,,,,,,,,
18,90,1.130693197,0.370421171,4.437495708,10.28329206,16.22190213,9468.457476,,,,,,,,
18,120,1.290760279,0.538411856,13.38365602,13.57593274,28.7887609,9531.956895,,,,,,,,
