seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,,,,,,
11,3,0.859838009,0.010129929,0.000119925,20.69080496,21.56089282,12436.87106,,3,0.740306592,0.017917151,0.000382385,20.49807154,21.25667767,9531.067255
11,9,0.779199123,0.041178226,0.001039743,20.27372074,21.09513783,12479.00581,,9,0.74341037,0.02821166,0.00082454,17.3607455,18.13319207,9597.910082
11,15,0.783686876,0.050759077,0.004258871,13.58360815,14.42231297,12560.91128,,15,0.772834132,0.044194386,0.004748292,14.3722497,15.19402651,9634.367617
11,21,0.810746908,0.080019951,0.020057201,8.490013838,9.400837898,12673.5088,,21,0.791292853,0.059409485,0.0164009,11.93541794,12.80252118,9667.302105
11,27,0.848082066,0.09769702,0.043002129,5.746431828,6.735213041,12673.38792,,27,0.799598129,0.081726282,0.043548937,9.916536634,10.84140998,9697.267627
11,30,0.816062927,0.089142799,0.06272006,5.447635174,6.415560961,12760.98897,,30,0.808885083,0.087187216,0.065534465,9.211059258,10.17266602,9709.858789
11,45,0.875194073,0.157702923,0.322888851,7.662745953,9.018531799,12749.3368,,45,0.86741919,0.136814423,0.327315462,6.690296757,8.021845832,9770.031462
11,60,0.964007854,0.163407326,0.99021697,4.3494277,6.467059851,12835.78423,,60,0.925095491,0.202108114,0.983209655,5.051392946,7.161806207,9821.046454
11,90,1.048262119,0.339643955,4.664031029,2.807884932,8.859822035,13088.52654,,90,1.03557323,0.346764445,4.81538897,3.733088315,9.93081496,9915.181842
11,120,1.266989946,0.490779161,15.74936485,2.563723326,20.07085729,13229.06539,,120,1.19419929,0.519925239,14.87655518,3.129294577,19.71997428,9989.283316
12,3,0.764485121,0.016023874,0.000422239,12.73480797,13.5157392,11938.87115,,,,,,,,
12,9,0.792393923,0.04206419,0.000760794,12.83770084,13.67291975,11995.46362,,,,,,,,
12,15,0.808299065,0.049730778,0.004620075,11.34029794,12.20294785,12059.12969,,,,,,,,
12,21,0.811501026,0.067170143,0.016180038,7.194143772,8.08899498,12113.49055,,,,,,,,
12,27,0.832591057,0.08284688,0.051206112,6.538267851,7.5049119,12126.84888,,,,,,,,
12,30,0.827209234,0.100760698,0.061502934,7.639188051,8.628660917,12159.79948,,,,,,,,
12,45,0.861584187,0.15731883,0.323100805,4.282093287,5.624097109,12215.70562,,,,,,,,
12,60,0.907876015,0.205212116,0.970463991,6.395377874,8.478929996,12190.36929,,,,,,,,
12,90,1.095690012,0.317358732,4.751444817,3.642333508,9.806827068,12357.50705,,,,,,,,
12,120,1.203341961,0.551536083,13.98977613,2.766577721,18.5112319,12455.08911,,,,,,,,
13,3,0.755246878,0.022643328,0.00043273,21.68449306,22.462816,12659.02853,,,,,,,,
13,9,0.765394211,0.034801245,0.000895977,19.84548569,20.64657712,12645.65125,,,,,,,,
13,15,0.789525032,0.033385038,0.004271984,20.33811784,21.16529989,12755.88861,,,,,,,,
13,21,0.869657993,0.042423964,0.015077114,17.74958372,18.67674279,12787.57346,,,,,,,,
13,27,0.862480879,0.077112198,0.046087027,18.26170397,19.24738407,12819.17021,,,,,,,,
13,30,0.840734005,0.080721855,0.065825224,4.802421093,5.789702177,12971.59442,,,,,,,,
13,45,0.903704166,0.186501026,0.383778095,6.7113657,8.185348988,12911.43473,,,,,,,,
13,60,0.973213196,0.20062089,0.949558973,4.157816648,6.281209707,13055.9103,,,,,,,,
13,90,1.092387915,0.342153072,4.917976141,3.485154152,9.83767128,13215.29455,,,,,,,,
13,120,1.226691008,0.525221109,16.25755906,2.828305721,20.8377769,13264.65059,,,,,,,,
14,3,0.724747896,0.020760059,0.000388145,20.68006492,21.42596102,6224.756067,,,,,,,,
14,9,0.749628305,0.035824776,0.00088501,19.74337387,20.52971196,6234.465659,,,,,,,,
14,15,0.787521839,0.019121885,0.004235983,20.91580915,21.72668886,6228.358289,,,,,,,,
14,21,0.788706064,0.074132919,0.015637159,10.94267082,11.82114697,6298.193448,,,,,,,,
14,27,0.807713032,0.079758883,0.045606852,6.182734013,7.115812778,6355.406293,,,,,,,,
14,30,0.822849989,0.06911397,0.061388016,6.340716839,7.294068813,6354.930202,,,,,,,,
14,45,0.876599073,0.156361341,0.340301752,8.777443171,10.15070534,6356.378252,,,,,,,,
14,60,0.966085196,0.239459991,0.985077858,5.839162827,8.029785872,6379.924359,,,,,,,,
14,90,1.068367958,0.383875132,5.087713003,2.633972883,9.173928976,6495.481542,,,,,,,,
14,120,1.21509099,0.557848692,16.88542676,2.889486313,21.54785275,6498.927668,,,,,,,,
15,3,0.746764898,0.02288723,0.000570059,21.88561893,22.65584111,10075.85881,,,,,,,,
15,9,0.759598017,0.021795034,0.00087595,20.66858292,21.45085192,10104.74802,,,,,,,,
15,15,0.786391735,0.024072886,0.004142046,20.59895039,21.41355705,10109.64558,,,,,,,,
15,21,0.820837021,0.086251974,0.016843081,14.13086176,15.05479383,10178.44775,,,,,,,,
15,27,0.797708035,0.086246967,0.041028261,10.41782165,11.34280491,10202.30101,,,,,,,,
15,30,0.830702066,0.08437109,0.060840845,8.122411966,9.098325968,10258.2868,,,,,,,,
15,45,0.875690937,0.137203932,0.35527873,8.343426228,9.711599827,10258.7765,,,,,,,,
15,60,0.972450733,0.219688177,0.988830805,3.682296276,5.863265991,10400.0264,,,,,,,,
15,90,1.066104174,0.340797901,4.453931093,3.410298586,9.271131754,10399.63831,,,,,,,,
15,120,1.42652297,0.501835108,15.81750393,3.170068979,20.91593099,10450.31596,,,,,,,,
16,3,0.753746033,0.020645142,0.000437021,22.49261284,23.26744103,11895.91991,,,,,,,,
16,9,0.789708138,0.020395994,0.000779152,19.84428072,20.655164,11991.99021,,,,,,,,
16,15,0.788849831,0.036107063,0.004637003,9.519633055,10.34922695,12035.81387,,,,,,,,
16,21,0.811203718,0.060989857,0.015233994,14.60882354,15.49625111,12041.43117,,,,,,,,
16,27,0.803138018,0.086771965,0.04093504,14.24453187,15.17537689,12074.78674,,,,,,,,
16,30,0.807195902,0.053450108,0.060368061,9.276260138,10.19727421,12113.84918,,,,,,,,
16,45,0.870764017,0.118906021,0.331176758,6.378121138,7.698967934,12179.84466,,,,,,,,
16,60,0.926677942,0.148953676,0.93009901,5.857384443,7.863115072,12218.27966,,,,,,,,
16,90,1.02520895,0.342859745,4.792736053,3.069014072,9.229818821,12378.71466,,,,,,,,
16,120,1.198810101,0.521763086,14.43077111,3.688062429,19.83940673,12509.06311,,,,,,,,
17,3,0.752629042,0.023897171,0.000370979,21.87307262,22.64996982,8266.218817,,,,,,,,
17,9,0.750337839,0.023732901,0.000747919,12.34060836,13.11542702,8311.592971,,,,,,,,
17,15,0.774165154,0.017146826,0.004162788,17.97704101,18.77251577,8350.002261,,,,,,,,
17,21,0.817882061,0.021558762,0.014656067,17.72696304,18.58105993,8356.740454,,,,,,,,
17,27,0.774552107,0.156115055,0.04598093,14.36093259,15.33758068,8370.97414,,,,,,,,
17,30,0.851116896,0.058193207,0.061870813,6.220536947,7.191717863,8454.834522,,,,,,,,
17,45,0.8986938,0.207201242,0.368070841,6.225710154,7.699676037,8430.464175,,,,,,,,
17,60,0.971670151,0.23682785,1.133112192,3.828638554,6.170248747,8530.524525,,,,,,,,
17,90,1.130920887,0.397520781,4.735536814,4.199815273,10.46379375,8566.022423,,,,,,,,
17,120,1.308806181,0.606399059,15.18551707,3.090749979,20.19147229,8652.260237,,,,,,,,
18,3,0.791443825,0.019705057,0.000368357,21.21222687,22.02374411,9490.060859,,,,,,,,
18,9,0.784960032,0.037099123,0.000893831,20.71938705,21.54234004,9534.975833,,,,,,,,
18,15,0.765753984,0.036180973,0.006101131,19.38461185,20.19264793,9556.225063,,,,,,,,
18,21,0.782009125,0.038374901,0.016215086,18.69928885,19.53588796,9584.002286,,,,,,,,
18,27,0.80851984,0.072121143,0.043342829,8.646559954,9.570543766,9617.333448,,,,,,,,
18,30,0.838915825,0.118422985,0.070119143,10.12743211,11.15489006,9659.225029,,,,,,,,
18,45,0.879294157,0.121252775,0.346169949,4.621389151,5.968106031,9644.106186,,,,,,,,
18,60,0.952743292,0.164006233,0.901661873,4.078069687,6.096481085,9710.60108,,,,,,,,
18,90,1.057381153,0.363325834,4.642629862,4.191311836,10.25464869,9746.573982,,,,,,,,
18,120,1.214846134,0.538460255,14.78077006,2.520448685,19.05452514,9984.275124,,,,,,,,
19,3,0.770133018,0.011177778,0.000351906,21.00230813,21.78397083,9628.31971,,,,,,,,
19,9,0.782450914,0.036216021,0.000945807,15.70312834,16.52274108,9747.832092,,,,,,,,
19,15,0.7976017,0.035813093,0.004259109,14.71706605,15.55473995,9772.631693,,,,,,,,
19,21,0.809803963,0.064133167,0.018939018,10.40644479,11.29932094,9792.032402,,,,,,,,
19,27,0.80221796,0.079431295,0.047904015,9.006823778,9.936377048,9819.628416,,,,,,,,
19,30,0.881157875,0.110127211,0.074821711,16.61568737,17.68179417,9801.863578,,,,,,,,
19,45,0.944269896,0.169523001,0.356899023,3.897465229,5.368157148,9973.784692,,,,,,,,
19,60,1.000473022,0.200773954,0.999737024,6.593669176,8.794653177,9892.33668,,,,,,,,
19,90,1.185648918,0.368206978,4.941380024,4.579195976,11.0744319,10035.95032,,,,,,,,
19,120,1.386708021,0.615411997,16.3254931,3.704742908,22.03235602,10087.53113,,,,,,,,
20,3,0.749795914,0.026299238,0.000356197,21.85599256,22.6324439,9592.582017,,,,,,,,
20,9,0.809993029,0.022915125,0.000736952,11.52048683,12.35413194,9716.824911,,,,,,,,
20,15,0.826488018,0.031783819,0.004199982,10.88201714,11.74448895,9742.206722,,,,,,,,
20,21,0.819391966,0.039191008,0.015990973,8.064123392,8.938697338,9847.777495,,,,,,,,
20,27,0.816744804,0.099298,0.044407129,11.55368423,12.51413417,9836.400859,,,,,,,,
20,30,0.840685844,0.100226164,0.076114893,15.60399389,16.62102079,9769.790908,,,,,,,,
20,45,0.910490036,0.153870106,0.339756727,4.752445936,6.156562805,9919.196315,,,,,,,,
20,60,0.998436213,0.235783815,1.078111172,8.686301708,10.99863291,9879.587609,,,,,,,,
20,90,1.06758976,0.343359947,5.037618876,5.003899336,11.45246792,9943.539628,,,,,,,,
20,120,1.289064169,0.517965078,15.00739622,3.18917942,20.00360489,10094.5995,,,,,,,,
21,3,0.860680103,0.030532122,0.000116348,22.56237459,23.45370317,10042.50704,,,,,,,,
21,9,0.805967808,0.032751799,0.000810862,10.12654757,10.96607804,10136.42512,,,,,,,,
21,15,0.822985172,0.043109894,0.005209208,10.71879387,11.59009814,10187.73059,,,,,,,,
21,21,0.928073168,0.060425043,0.015743971,11.82243395,12.82667613,10223.45115,,,,,,,,
21,27,0.920732975,0.083204031,0.045464039,9.130011797,10.17941284,10306.94617,,,,,,,,
21,30,0.80107379,0.096931219,0.060689926,10.84166026,11.8003552,10239.16351,,,,,,,,
21,45,0.921387911,0.130242109,0.310118198,5.610901833,6.972650051,10334.00144,,,,,,,,
21,60,0.987602234,0.225280046,0.957278013,4.683592796,6.85375309,10338.10765,,,,,,,,
21,90,1.141168118,0.386296749,4.849379063,3.768616199,10.14546013,10477.25613,,,,,,,,
21,120,1.273329973,0.544718981,16.07934523,3.408453703,21.30584788,10557.55743,,,,,,,,
22,3,0.832380056,0.02850914,0.000492811,23.39277291,24.25415492,10461.42423,,,,,,,,
22,9,0.780600071,0.025737047,0.000762939,20.5601728,21.36727285,10540.6912,,,,,,,,
22,15,0.831524849,0.084515095,0.005772114,16.60722613,17.52903819,10605.2617,,,,,,,,
22,21,0.810073853,0.088698149,0.018002033,16.81367993,17.73045397,10654.65565,,,,,,,,
22,27,0.816022873,0.068457842,0.04005003,15.30743718,16.23196793,10648.33985,,,,,,,,
22,30,0.874764919,0.178714752,0.064396858,10.95331645,12.07119298,10700.97456,,,,,,,,
22,45,0.843795061,0.143667936,0.307379961,5.561494827,6.856337786,10758.30603,,,,,,,,
22,60,0.969252825,0.250712156,0.986432076,4.605698824,6.812095881,10874.83621,,,,,,,,
22,90,1.051466227,0.338193178,4.36863327,4.823532104,10.58182478,10855.48013,,,,,,,,
22,120,1.262912035,0.541501045,14.75041986,3.326922178,19.88175511,10973.68753,,,,,,,,
23,3,0.753134727,0.01409626,0.000411987,22.02802873,22.7956717,9690.446404,,,,,,,,
23,9,0.755994797,0.021543026,0.000760078,20.51422524,21.29252315,9754.106779,,,,,,,,
23,15,0.865978241,0.11500597,0.00448513,18.80620265,19.79167199,9829.988849,,,,,,,,
23,21,0.795349836,0.088855982,0.015277863,17.07579136,17.97527504,9788.609957,,,,,,,,
23,27,0.811028004,0.075572014,0.04125905,7.235805035,8.163664103,9885.899717,,,,,,,,
23,30,0.786375999,0.051198959,0.058214903,10.4709332,11.36672306,9824.591472,,,,,,,,
23,45,0.944458961,0.08039093,0.329630852,10.22042227,11.57490301,9888.439584,,,,,,,,
23,60,0.954493284,0.229186773,1.051684141,4.430942774,6.666306973,9977.823202,,,,,,,,
