seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,,,,,
11,1,1.237878084,0.332875967,8.08E-05,4.283836842,5.854671717,12994.61826,,1.179004979,0.353145194,0.000295544,3.918903875,5.451349592,10986.94292
11,2,1.105895042,0.326709032,2.398959875,7.161340237,10.99290419,12691.02999,,1.11635859,0.324347043,2.427165747,7.340182161,11.20805354,10780.6367
11,3,1.263142109,0.404433012,4.711259842,11.28336096,17.66219592,12581.995,,1.1331496,0.358100557,4.972911978,9.757411003,16.22157314,10700.62288
11,4,1.196968794,0.33462286,7.237808943,20.11103129,28.88043189,12481.80767,,1.162165475,0.348036861,7.41278162,16.41358163,25.33656559,10627.01799
11,5,1.150190115,0.342567921,9.120827198,19.61057591,30.22416115,12468.39945,,1.170354652,0.349387646,10.0281229,17.53857615,29.08644135,10595.37994
12,1,1.17477417,0.390436172,0.000312805,2.947429895,4.512953043,12738.48391,,,,,,,
12,2,1.070076227,0.356657982,2.272279024,5.441355944,9.140369177,12512.2584,,,,,,,
12,3,1.054246187,0.359426022,4.570410967,6.541746616,12.52582979,12410.2689,,,,,,,
12,4,1.286908865,0.374644995,7.377081156,12.44122386,21.47985888,12327.74265,,,,,,,
12,5,1.359885931,0.362637043,9.64995122,12.62357497,23.99604917,12300.48765,,,,,,,
13,1,1.097435951,0.293686152,0.000308037,4.764801979,6.156232119,13054.11754,,,,,,,
13,2,1.084370852,0.265797853,2.321726084,6.202011347,9.873906136,12846.3393,,,,,,,
13,3,1.096831083,0.298045874,4.991261959,9.695964336,16.08210325,12730.10556,,,,,,,
13,4,1.182329893,0.325536013,6.939331055,11.60527325,20.05247021,12679.91952,,,,,,,
13,5,1.096735954,0.267340183,9.764874935,11.41631484,22.54526591,12668.8937,,,,,,,
14,1,1.117493153,0.37543416,0.000293016,3.149353743,4.642574072,7418.100013,,,,,,,
14,2,1.127599955,0.317028046,2.530580044,5.066505909,9.041713953,7279.926183,,,,,,,
14,3,1.074146986,0.348603725,5.098686934,5.46094346,11.98238111,7243.280152,,,,,,,
14,4,1.089135647,0.345390081,8.204658985,20.30856347,29.94774818,7126.124066,,,,,,,
14,5,1.142261982,0.341660023,10.99699306,20.41471577,32.89563084,7086.491976,,,,,,,
15,1,1.122411013,0.362209082,0.000315905,3.130365133,4.615301132,10840.05846,,,,,,,
15,2,1.090089798,0.333616972,2.48313117,7.735454082,11.64229202,10614.33392,,,,,,,
15,3,1.078061104,0.359817266,5.08191824,10.55681849,17.0766151,10552.83836,,,,,,,
15,4,1.110500813,0.358989954,7.571580887,10.88576627,19.92683792,10523.91785,,,,,,,
15,5,1.137172937,0.369278908,10.05265093,12.0904181,23.64952087,10482.11519,,,,,,,
16,1,1.120933056,0.314041138,0.000318289,3.620945454,5.056237936,12528.44652,,,,,,,
16,2,1.170674324,0.324013948,2.454751968,7.573455811,11.52289605,12305.26561,,,,,,,
16,3,1.329430819,0.349517107,5.082538843,9.860920191,16.62240696,12242.32,,,,,,,
16,4,1.181520224,0.323681593,7.049430847,14.30058551,22.85521817,12171.23852,,,,,,,
16,5,1.116701841,0.336653233,9.846546888,17.85865402,29.15855598,12146.59125,,,,,,,
17,1,1.357050896,0.352950096,0.000315905,4.542352915,6.252669811,9207.982223,,,,,,,
17,2,1.115935087,0.308987856,2.37184,11.651299,15.44806194,9015.491217,,,,,,,
17,3,1.097995996,0.343263149,4.931341887,12.44934106,18.82194209,8950.39383,,,,,,,
17,4,1.197967291,0.308387756,7.32713604,17.36895275,26.20244384,8894.503911,,,,,,,
17,5,1.20921874,0.317145109,9.887446165,19.34780574,30.76161575,8857.506344,,,,,,,
18,1,1.208846092,0.381768227,0.000320911,5.532236814,7.123172045,10285.45277,,,,,,,
18,2,1.116051912,0.350199938,2.484119177,9.421384096,13.37175512,10127.60037,,,,,,,
18,3,1.095589876,0.390994072,5.020672083,14.19145799,20.69871402,10054.04512,,,,,,,
18,4,1.115130901,0.381049156,7.126250267,18.35746384,26.97989416,9988.878857,,,,,,,
18,5,1.105910063,0.383538008,9.875010729,19.83308005,31.19753885,9981.753581,,,,,,,
19,1,1.087191105,0.353521824,0.000327826,3.436852455,4.877893209,10501.1552,,,,,,,
19,2,1.100303888,0.317264795,2.388744116,7.042972088,10.84928489,10283.92116,,,,,,,
19,3,1.153945923,0.36032629,5.001600027,7.95615387,14.47202611,10219.3466,,,,,,,
19,4,1.130534172,0.362365961,7.651064157,19.30430055,28.44826484,10120.70097,,,,,,,
19,5,1.172282934,0.403167009,10.37576509,20.98356986,32.93478489,10064.85482,,,,,,,
20,1,1.266036272,0.374529123,0.000361919,3.780863523,5.421790838,10301.01431,,,,,,,
20,2,1.182588816,0.343194008,2.565526009,6.1060431,10.19735193,10130.20082,,,,,,,
20,3,1.088105917,0.366579056,5.239428997,9.577403069,16.27151704,10021.63526,,,,,,,
20,4,1.13065815,0.365700245,7.643473864,19.45265555,28.59248781,9955.3459,,,,,,,
20,5,1.213186026,0.369889021,10.71116281,21.20705223,33.50129008,9896.70548,,,,,,,
