seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,,,,,
11,1,1.183437824,0.325159311,7.20E-05,4.349268913,5.857938051,12880.58732,,1.077174783,0.33929038,0.000323582,3.971987677,5.388776422,10909.52698
11,2,1.093273878,0.321597815,2.223330975,4.283679485,7.921882153,12903.84142,,1.091786647,0.315036893,2.128052568,3.943382668,7.478258777,10928.62588
11,3,1.048545122,0.324054956,4.386599779,4.351582289,10.11078215,12907.80043,,1.066338491,0.338899255,4.408254337,3.972035742,9.785527825,10931.70921
11,4,1.085860729,0.327883959,6.492282152,4.30591917,12.21194601,12901.83626,,1.081269503,0.331125665,6.520902514,3.96778698,11.90108466,10930.12667
11,5,1.060436964,0.328221083,8.656508923,4.376811266,14.42197824,12902.90694,,1.086907816,0.334541178,8.989546609,3.990304327,14.40129993,10931.28115
12,1,1.026902914,0.353812218,0.000349283,3.105947733,4.487012148,12665.66238,,,,,,,
12,2,1.061697006,0.325013161,2.056218147,2.962757587,6.405685902,12687.5535,,,,,,,
12,3,1.037649155,0.350529671,4.12770319,2.998529673,8.514411688,12690.9302,,,,,,,
12,4,1.068139076,0.356010914,6.460068941,2.982158184,10.86637712,12689.85451,,,,,,,
12,5,1.067124128,0.359405994,8.673328876,2.969229937,13.06908894,12693.36588,,,,,,,
13,1,1.094238997,0.28075695,0.000494957,5.223860264,6.599351168,12937.00087,,,,,,,
13,2,1.095636845,0.254241705,2.071264029,5.202675581,8.623818159,12958.04276,,,,,,,
13,3,1.064441681,0.278553009,4.023146152,5.244706154,10.610847,12963.60978,,,,,,,
13,4,1.056892157,0.281353951,5.830066919,5.298502207,12.46681523,12961.74476,,,,,,,
13,5,1.106930017,0.282359123,8.299641132,5.311457872,15.00038815,12962.59529,,,,,,,
14,1,1.067672968,0.345109701,0.000353098,3.152538061,4.565673828,7376.138854,,,,,,,
14,2,1.079506397,0.315168858,2.081127882,3.134560823,6.61036396,7389.884276,,,,,,,
14,3,1.058110952,0.343981743,4.602704048,3.15947628,9.164273024,7393.116241,,,,,,,
14,4,1.089308023,0.34587121,6.845304012,3.154531956,11.4350152,7392.107883,,,,,,,
14,5,1.090489864,0.346993923,9.091245174,3.160537004,13.68926597,7393.658704,,,,,,,
15,1,1.041138172,0.368274927,0.000323772,3.15485096,4.564587831,10767.63133,,,,,,,
15,2,1.093566179,0.344624996,2.102521896,3.126827002,6.667540073,10782.43122,,,,,,,
15,3,1.048602104,0.375140667,4.431988955,3.148608208,9.004339933,10785.44142,,,,,,,
15,4,1.064498186,0.342934132,6.700507164,3.12727046,11.23520994,10786.1501,,,,,,,
15,5,1.075822115,0.341751099,8.336996078,3.159470558,12.91403985,10786.17739,,,,,,,
16,1,1.082748175,0.308559179,0.000323057,3.730285406,5.121915817,12472.987,,,,,,,
16,2,1.106883287,0.279417753,2.165905714,3.747700214,7.299906969,12494.99388,,,,,,,
16,3,1.095791101,0.304881811,4.563560963,3.780591249,9.744825125,12495.56313,,,,,,,
16,4,1.088737965,0.307004929,6.390430927,3.756985188,11.54315901,12493.09881,,,,,,,
16,5,1.119692087,0.312369823,8.73007679,3.73632741,13.89846611,12493.83009,,,,,,,
17,1,1.080642939,0.335342646,0.000321865,4.271222591,5.687530041,9155.776381,,,,,,,
17,2,1.101794004,0.30160594,2.209007263,4.243784666,7.856191874,9171.571975,,,,,,,
17,3,1.069713831,0.337008715,4.775869846,4.289770603,10.472363,9172.790602,,,,,,,
17,4,1.094675303,0.304354668,6.857888937,4.265964985,12.52288389,9174.61684,,,,,,,
17,5,1.102411985,0.30408597,9.432317019,4.253437042,15.09225202,9175.538351,,,,,,,
18,1,1.059325933,0.376414061,0.000319958,5.514235258,6.95029521,10243.75445,,,,,,,
18,2,1.081828117,0.370829821,2.025947094,5.523841858,9.00244689,10263.10337,,,,,,,
18,3,1.069323063,0.374398947,4.100731134,5.523810148,11.06826329,10268.113,,,,,,,
18,4,1.070210934,0.376125813,6.080691099,5.544150114,13.07117796,10264.35589,,,,,,,
18,5,1.061161995,0.400360823,8.2178092,5.555075884,15.2344079,10264.07569,,,,,,,
19,1,1.071125984,0.341194868,0.000357866,3.432548285,4.845227003,10396.56328,,,,,,,
19,2,1.095890045,0.308964014,2.076545715,3.426294088,6.907693863,10417.74762,,,,,,,
19,3,1.091521025,0.340738058,4.362859011,3.402694941,9.197813034,10423.4512,,,,,,,
19,4,1.096144199,0.308609009,6.555673122,3.405018806,11.36544514,10422.99986,,,,,,,
19,5,1.094900846,0.31072402,9.734003067,3.538967133,14.67859507,10426.58153,,,,,,,
20,1,1.064513922,0.358279943,0.000319958,3.785119295,5.208233118,10199.16793,,,,,,,
20,2,1.107790709,0.328904867,2.268656969,3.781705379,7.487057924,10217.08879,,,,,,,
20,3,1.07968688,0.359704971,4.707380295,3.820587873,9.96736002,10216.27605,,,,,,,
20,4,1.098228455,0.361108065,6.99611187,3.837368727,12.29281712,10214.50176,,,,,,,
20,5,1.090108156,0.359139919,10.72353983,3.841729164,16.01451707,10214.08163,,,,,,,
