seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,,,,,
11,1,38.694592,0.006814957,38.70140696,11761.12301,,,1,38.57020605,0.006802678,38.57700872,10459.1969
11,2,39.23270178,0.006648064,39.23934984,11977.15117,,,2,38.43405316,0.00660274,38.4406559,10615.02966
11,3,39.13961911,0.006700039,39.14631915,12103.22421,,,3,38.55508995,0.006735063,38.56182501,10717.86932
11,4,39.7840631,0.006711006,39.79077411,12194.44676,,,4,39.00179167,0.006808925,39.00860059,10784.72536
11,5,39.0987618,0.006749153,39.10551095,12262.52238,,,5,39.1903949,0.006917071,39.19731197,10828.84043
12,1,38.23758078,0.008620977,38.24620175,11943.38594,,,,,,,
12,2,38.58952713,0.006578922,38.59610605,12066.15693,,,,,,,
12,3,38.94634295,0.006682158,38.9530251,12159.80043,,,,,,,
12,4,40.341115,0.006812811,40.34792781,12221.10625,,,,,,,
12,5,41.37734485,0.007936001,41.38528085,12260.96211,,,,,,,
13,1,40.760993,0.006742001,40.767735,12006.4317,,,,,,,
13,2,38.73106384,0.006664038,38.73772788,12145.98492,,,,,,,
13,3,38.43354607,0.006669044,38.44021511,12274.08729,,,,,,,
13,4,38.65249801,0.006831884,38.65932989,12356.9262,,,,,,,
13,5,38.83439898,0.006770134,38.84116912,12412.43557,,,,,,,
14,1,38.84016633,0.006578922,38.84674525,7782.816644,,,,,,,
14,2,38.26992297,0.006646156,38.27656913,7904.847253,,,,,,,
14,3,38.53251576,0.007076025,38.53959179,7974.190668,,,,,,,
14,4,38.84426808,0.006727934,38.85099602,8019.131739,,,,,,,
14,5,39.01629686,0.007064104,39.02336097,8053.111721,,,,,,,
15,1,38.19076419,0.006555796,38.19731998,10439.95717,,,,,,,
15,2,38.21328115,0.006558895,38.21984005,10595.76637,,,,,,,
15,3,38.42392206,0.006748915,38.43067098,10701.80908,,,,,,,
15,4,38.71245265,0.006864309,38.71931696,10782.99274,,,,,,,
15,5,38.87611508,0.006823063,38.88293815,10812.28769,,,,,,,
16,1,38.18465304,0.006607294,38.19126034,11644.38646,,,,,,,
16,2,38.1583519,0.006570816,38.16492271,11826.20666,,,,,,,
16,3,38.32137823,0.006656885,38.32803512,11958.51725,,,,,,,
16,4,38.72468901,0.006798029,38.73148704,12032.21982,,,,,,,
16,5,39.00882101,0.006758928,39.01557994,12098.20643,,,,,,,
17,1,38.1506362,0.006560802,38.157197,9066.434544,,,,,,,
17,2,38.39600372,0.006563187,38.40256691,9207.385539,,,,,,,
17,3,38.31988978,0.006709099,38.32659888,9310.862677,,,,,,,
17,4,38.91283107,0.00703907,38.91987014,9346.511152,,,,,,,
17,5,39.07759404,0.006756067,39.08435011,9383.044872,,,,,,,
18,1,38.27734518,0.006593943,38.28393912,9924.76295,,,,,,,
18,2,38.0593431,0.006556034,38.06589913,10112.6892,,,,,,,
18,3,38.41729593,0.006674051,38.42396998,10216.36918,,,,,,,
18,4,38.60698318,0.006741047,38.61372423,10301.64006,,,,,,,
18,5,38.81136274,0.006742001,38.81810474,10348.88669,,,,,,,
19,1,38.14378595,0.00639987,38.15018582,10216.74609,,,,,,,
19,2,38.30684209,0.006618977,38.31346107,10325.64509,,,,,,,
19,3,38.55138278,0.006751299,38.55813408,10386.11584,,,,,,,
19,4,38.73923683,0.006747007,38.74598384,10428.97848,,,,,,,
19,5,38.94673586,0.006831169,38.95356703,10457.9703,,,,,,,
20,1,38.22154379,0.006552219,38.22809601,9805.92449,,,,,,,
20,2,38.3834939,0.006622314,38.39011621,9988.463481,,,,,,,
20,3,38.46500683,0.006683111,38.47168994,10093.7166,,,,,,,
20,4,38.69977975,0.006816149,38.7065959,10163.30036,,,,,,,
20,5,38.85651779,0.006740093,38.86325788,10198.97653,,,,,,,
