seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,,,,,
11,1,1.181705952,0.327194929,7.18E-05,2.841497183,4.350469828,12939.09228,,1.113869476,0.342317009,0.000304508,3.708334374,5.164825368,10508.83469
11,2,1.186305046,0.330710888,2.039386988,4.559427261,8.115830183,12724.86597,,1.115517402,0.314948106,2.103263593,7.311012864,10.84474196,10338.07078
11,3,1.162250996,0.347767115,4.061869144,4.995879889,10.56776714,12652.97567,,1.100296617,0.342769456,4.343621588,12.85219529,18.63888295,10253.20302
11,4,1.134917021,0.309252977,6.002789259,7.883997679,15.33095694,12568.6033,,1.117912912,0.338178778,6.437506843,14.76940947,22.663008,10213.69105
11,5,1.099011898,0.333615065,8.517347813,14.08400011,24.03397489,12498.01371,,1.121222425,0.34211576,9.004796076,16.68615701,27.15429127,10193.03109
12,1,1.099915028,0.332445383,0.000380039,3.851653576,5.284394026,12219.47499,,,,,,,
12,2,1.119365215,0.30892396,2.158442974,9.236719847,12.823452,12037.49646,,,,,,,
12,3,1.181679249,0.339744091,4.358893156,9.013656378,14.89397287,11962.81883,,,,,,,
12,4,1.104855061,0.334496021,6.501482248,10.50394249,18.44477582,11892.03269,,,,,,,
12,5,1.109817982,0.337948084,9.034672976,17.22880077,27.71123981,11893.86827,,,,,,,
13,1,1.104768038,0.327350855,0.000371933,3.599940062,5.032430887,13014.03919,,,,,,,
13,2,1.09297204,0.297409773,2.196175098,7.017697096,10.60425401,12733.25193,,,,,,,
13,3,1.114761114,0.329834938,4.585390091,17.39068484,23.42067099,12601.42483,,,,,,,
13,4,1.119147062,0.329944849,7.077040195,18.81669784,27.34282994,12567.84982,,,,,,,
13,5,1.131774902,0.32756114,9.666240931,19.00611591,30.13169289,12561.91811,,,,,,,
14,1,1.04523778,0.378076077,0.000331879,2.639869213,4.063514948,6434.135146,,,,,,,
14,2,1.065646887,0.347909212,2.26901412,6.393418789,10.07598901,6297.913124,,,,,,,
14,3,1.099828005,0.385179043,4.692237139,12.12194681,18.299191,6245.851486,,,,,,,
14,4,1.08804822,0.380499125,6.731575966,13.24323273,21.44335604,6229.616794,,,,,,,
14,5,1.088060141,0.37729907,9.513872862,13.70515704,24.68438911,6222.1905,,,,,,,
15,1,1.100719929,0.340013027,0.000313997,3.454415083,4.895462036,10320.64332,,,,,,,
15,2,1.076856136,0.304280043,1.728881836,4.842919827,7.952937841,10197.76695,,,,,,,
15,3,1.054380894,0.331285954,3.883103132,6.278718948,11.54748893,10167.09762,,,,,,,
15,4,1.072082758,0.332523108,5.756984949,9.492699385,16.6542902,10124.44521,,,,,,,
15,5,1.154354095,0.336029291,8.065971136,11.15187454,20.70822906,10082.67317,,,,,,,
16,1,1.095496893,0.354652882,0.000295877,3.066380262,4.516825914,12272.96494,,,,,,,
16,2,1.115468979,0.318312168,1.958902836,5.448258162,8.840942144,12095.29447,,,,,,,
16,3,1.049919844,0.340412855,4.327410221,16.75469708,22.47244,11908.47312,,,,,,,
16,4,1.144695044,0.340281248,6.405775785,17.84335423,25.7341063,11888.94013,,,,,,,
16,5,1.106097937,0.340415001,8.875721931,17.94746113,28.269696,11877.7036,,,,,,,
17,1,1.086532116,0.374634027,0.000341892,3.608397007,5.069905043,8465.824713,,,,,,,
17,2,1.113539934,0.347341776,2.425235271,8.682240725,12.56835771,8336.368501,,,,,,,
17,3,1.069638968,0.371578217,4.454550982,19.2123127,25.10808086,8253.907827,,,,,,,
17,4,1.129437923,0.369628191,7.101848125,20.56750274,29.16841698,8226.236962,,,,,,,
17,5,1.124684095,0.374199152,10.11560392,21.02970481,32.64419198,8222.280379,,,,,,,
18,1,1.153681993,0.344052076,0.000295877,4.030328989,5.528358936,9665.199977,,,,,,,
18,2,1.130729914,0.316969156,2.000123978,6.342010975,9.789834023,9547.47236,,,,,,,
18,3,1.110436916,0.337841272,4.296700001,10.22445393,15.96943212,9468.457476,,,,,,,
18,4,1.120808125,0.343955994,6.148905993,10.69891405,18.31258416,9453.738908,,,,,,,
18,5,1.133862257,0.344033957,8.564200163,10.67314363,20.71524,9442.286557,,,,,,,
19,1,1.141379833,0.308722973,0.000310898,5.0888412,6.539254904,9881.309824,,,,,,,
19,2,1.114567995,0.272652149,2.288601875,10.6280179,14.30383992,9692.462484,,,,,,,
19,3,1.085067987,0.308897018,4.348548174,18.13002563,23.87253881,9625.462417,,,,,,,
19,4,1.148923874,0.309355974,6.275378942,19.78065205,27.51431084,9603.313516,,,,,,,
19,5,1.139289856,0.315702915,8.509810209,20.49259496,30.45739794,9589.223655,,,,,,,
20,1,1.129257202,0.336027861,0.000330925,4.90202117,6.367637157,9875.662499,,,,,,,
20,2,1.13972187,0.304971933,1.967870951,9.959418058,13.37198281,9717.815523,,,,,,,
20,3,1.075002193,0.335154057,4.427513838,14.39957666,20.23724675,9645.560879,,,,,,,
20,4,1.116214037,0.33185029,6.373286963,18.86310148,26.68445277,9582.133125,,,,,,,
20,5,1.125271082,0.334353924,9.184518814,21.54271722,32.18686104,9540.152957,,,,,,,
