seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,,,,,
11,1,1.274060011,0.350282907,7.32E-05,2.740361929,4.364778042,13052.57931,,1.085791779,0.358228374,0.000281739,3.639914894,5.084216785,10598.25307
11,2,1.081607819,0.375977993,2.388511896,2.695866346,6.541964054,13080.39906,,1.091056848,0.326673746,2.345794344,3.576439214,7.339964151,10620.55137
11,3,1.076081276,0.33495307,4.499450922,2.70299983,8.613485098,13088.52654,,1.051601958,0.347519755,4.73539319,3.618830681,9.753345585,10622.7249
11,4,1.095696211,0.334353924,6.768811941,2.695509911,10.89437199,13082.60895,,1.086479831,0.345877671,6.945565081,3.616672397,11.99459498,10622.40629
11,5,1.068821907,0.339686155,9.182366848,2.78711915,13.37799406,13083.64662,,1.074398279,0.348597836,9.562871385,3.621561551,14.60742905,10623.70665
12,1,1.051004887,0.33897686,0.000290871,3.517016411,4.907289028,12332.17831,,,,,,,
12,2,1.081572056,0.31335187,2.25613904,3.470909119,7.121972084,12352.57161,,,,,,,
12,3,1.039417267,0.341286898,4.745121956,3.516698837,9.642524958,12357.50705,,,,,,,
12,4,1.105472088,0.341609001,6.676155806,3.516000271,11.63923717,12358.07969,,,,,,,
12,5,1.082051277,0.346975803,9.019986153,3.558557987,14.00757122,12356.71173,,,,,,,
13,1,1.075347185,0.340265989,0.000324726,3.408911228,4.824849129,13185.66063,,,,,,,
13,2,1.086541176,0.312309027,2.228245974,3.392369747,7.019465923,13212.08492,,,,,,,
13,3,1.064761162,0.342695951,4.765625954,3.430871725,9.603954792,13215.29455,,,,,,,
13,4,1.092945099,0.337120056,7.401512861,3.39953804,12.23111606,13219.24775,,,,,,,
13,5,1.049916983,0.340370178,10.2943089,3.45123291,15.13582897,13222.19495,,,,,,,
14,1,1.029129028,0.381295204,0.000312805,2.592685223,4.00342226,6477.082103,,,,,,,
14,2,1.064892054,0.351651669,2.327131987,2.554777384,6.298453093,6492.377636,,,,,,,
14,3,1.036288023,0.375628948,5.048505783,2.590534449,9.050957203,6495.481542,,,,,,,
14,4,1.075871944,0.382967949,7.310348034,2.561134338,11.33032227,6493.149409,,,,,,,
14,5,1.073586941,0.38528204,10.01747203,2.570612192,14.0469532,6494.178473,,,,,,,
15,1,1.033308983,0.344382048,0.000309944,3.398802042,4.776803017,10372.76508,,,,,,,
15,2,1.04956913,0.312128067,2.221264124,3.365618706,6.948580027,10393.30416,,,,,,,
15,3,1.028974056,0.340845823,4.495233059,3.377561092,9.242614031,10399.63831,,,,,,,
15,4,1.048444986,0.339763165,6.303122044,3.36311698,11.05444717,10394.51321,,,,,,,
15,5,1.053359747,0.34394908,8.322683811,3.37636447,13.09635711,10393.8687,,,,,,,
16,1,1.071724892,0.343316793,0.000310898,3.100046635,4.515399218,12363.48267,,,,,,,
16,2,1.066169024,0.314467907,2.309933186,3.030974865,6.721544981,12382.63727,,,,,,,
16,3,1.031581879,0.343053818,4.800424099,3.09211421,9.267174006,12378.71466,,,,,,,
16,4,1.082459927,0.342308044,7.156169176,3.169374704,11.75031185,12381.74054,,,,,,,
16,5,1.032347918,0.346263885,9.843221903,3.080241442,14.30207515,12382.19789,,,,,,,
17,1,1.047000885,0.373468161,0.000311852,4.090279102,5.511059999,8549.669804,,,,,,,
17,2,1.081622124,0.343333244,2.450304985,4.042158842,7.917419195,8568.092006,,,,,,,
17,3,1.048817158,0.372112036,4.662769079,4.167229652,10.25092793,8566.022423,,,,,,,
17,4,1.097598791,0.376051188,6.877149105,4.09286809,12.44366717,8566.509367,,,,,,,
17,5,1.098138094,0.376296997,9.707756996,4.087530136,15.26972222,8567.815604,,,,,,,
18,1,1.086289883,0.356942892,0.000317097,4.131520987,5.575070858,9728.542498,,,,,,,
18,2,1.110888958,0.336932898,2.491362095,4.099368095,8.038552046,9751.598277,,,,,,,
18,3,1.079593897,0.360978842,4.622525215,4.14154315,10.2046411,9746.573982,,,,,,,
18,4,1.115905046,0.362448931,6.775920868,4.143130064,12.39740491,9748.561466,,,,,,,
18,5,1.0846591,0.358581066,9.660737991,4.175629616,15.27960777,9752.235536,,,,,,,
19,1,1.121490955,0.415944099,0.000265837,4.571989298,6.109690189,9995.657421,,,,,,,
19,2,1.166670084,0.302446127,2.46519208,4.281850815,8.216159105,10027.65398,,,,,,,
19,3,1.059083939,0.331427097,4.763078928,4.311871052,10.46546102,10035.95032,,,,,,,
19,4,1.091339111,0.333870649,7.097157955,4.405638456,12.92800617,10036.09299,,,,,,,
19,5,1.131360054,0.340156078,9.500941038,4.298259735,15.27071691,10039.43504,,,,,,,
20,1,1.068561077,0.337408781,0.000300169,4.847536087,6.253806114,9924.912874,,,,,,,
20,2,1.121036053,0.30413866,2.319858074,4.830498219,8.575531006,9944.794763,,,,,,,
20,3,1.051420927,0.332215071,4.951196909,4.856882811,11.19171572,9943.539628,,,,,,,
20,4,1.059065104,0.308283806,7.089303017,4.820413113,13.27706504,9943.559533,,,,,,,
20,5,1.069740772,0.308417082,10.07923818,4.830067873,16.2874639,9944.781942,,,,,,,
