seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,,,
11,1,39.58550906,0.006803036,39.5923121,12173.52418,,38.01645608,0.006536174,38.02299225,9997.597856
11,2,37.15822792,0.006326914,37.16455483,12277.88031,,37.7912807,0.0064188,37.7976995,10077.76232
11,3,37.54863095,0.006420135,37.55505109,12382.03175,,38.11408434,0.006656051,38.12074039,10142.41941
11,4,37.61263585,0.006420135,37.61905599,12468.56354,,38.33044662,0.006562757,38.33700938,10198.60146
11,5,37.66781211,0.006448746,37.67426085,12535.05067,,38.42062035,0.006592035,38.42721238,10239.92944
12,1,37.29687619,0.006289721,37.30316591,11749.99683,,,,,
12,2,37.48742199,0.006361008,37.493783,11792.98744,,,,,
12,3,37.69720316,0.006485939,37.7036891,11820.64151,,,,,
12,4,37.96455717,0.006453991,37.97101116,11857.31611,,,,,
12,5,37.94944525,0.006481886,37.95592713,11873.59784,,,,,
13,1,37.31939626,0.006325006,37.32572126,12356.76019,,,,,
13,2,37.358675,0.006336927,37.36501193,12442.93483,,,,,
13,3,37.46480513,0.006481886,37.47128701,12507.20829,,,,,
13,4,37.68995285,0.006538868,37.69649172,12578.71097,,,,,
13,5,37.95463109,0.006500959,37.96113205,12652.86388,,,,,
14,1,37.15534592,0.006277084,37.161623,6045.669536,,,,,
14,2,37.12410402,0.006332159,37.13043618,6113.780041,,,,,
14,3,37.6479609,0.006453037,37.65441394,6163.39709,,,,,
14,4,37.83751822,0.00639987,37.84391809,6200.629819,,,,,
14,5,37.94280982,0.006601095,37.94941092,6230.823157,,,,,
15,1,37.34316683,0.00628829,37.34945512,9802.353972,,,,,
15,2,37.46494222,0.006317854,37.47126007,9892.666417,,,,,
15,3,37.62906909,0.006572962,37.63564205,9965.77418,,,,,
15,4,38.12318015,0.006507874,38.12968802,10030.13938,,,,,
15,5,38.24150395,0.00661397,38.24811792,10091.3163,,,,,
16,1,37.58764601,0.006313801,37.59395981,11698.04006,,,,,
16,2,37.52424765,0.006312132,37.53055978,11779.75852,,,,,
16,3,37.99519277,0.006670237,38.001863,11835.88328,,,,,
16,4,38.05829883,0.006508112,38.06480694,11892.80063,,,,,
16,5,38.11065698,0.006480932,38.11713791,11910.89975,,,,,
17,1,37.53059006,0.006446123,37.53703618,8014.164344,,,,,
17,2,38.25549912,0.006597757,38.26209688,8102.373454,,,,,
17,3,38.43669486,0.006695986,38.44339085,8170.791133,,,,,
17,4,39.06564188,0.006630898,39.07227278,8235.991425,,,,,
17,5,39.16204,0.006765842,39.16880584,8261.401764,,,,,
18,1,38.61109614,0.007707834,38.61880398,9178.685696,,,,,
18,2,38.52487397,0.00654006,38.53141403,9288.925174,,,,,
18,3,38.71220779,0.006665945,38.71887374,9388.063627,,,,,
18,4,39.06327009,0.00672698,39.06999707,9454.436797,,,,,
18,5,39.24553704,0.006710768,39.25224781,9520.263713,,,,,
19,1,38.83195901,0.006586075,38.83854508,9563.834105,,,,,
19,2,38.98018098,0.006570101,38.98675108,9598.101189,,,,,
19,3,39.57228589,0.007665157,39.57995105,9620.744904,,,,,
19,4,39.33398414,0.006788015,39.34077215,9642.94084,,,,,
19,5,39.30494118,0.006613016,39.31155419,9663.078642,,,,,
20,1,38.90297532,0.006324768,38.90930009,9392.94964,,,,,
20,2,38.03463411,0.006493092,38.0411272,9488.21582,,,,,
20,3,38.43679285,0.006449223,38.44324207,9569.65836,,,,,
20,4,38.55542707,0.006652832,38.56207991,9624.485066,,,,,
20,5,38.62682605,0.006703138,38.63352919,9659.998659,,,,,
