seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,,,,,,
11,5000,0.536355972,0.239128113,4.630201817,0.705429077,6.111114979,8481.112461,,5000,0.540206742,0.261010528,4.539473462,0.657820463,5.998511195,7146.925986
11,10000,1.10439682,0.330285072,4.439424992,1.849753141,7.723860025,16810.24216,,10000,1.124881721,0.333635998,4.432331944,1.774323654,7.665173316,14139.68408
11,15000,1.747375727,0.564476728,4.669438839,3.611324787,10.59261608,25344.96723,,15000,1.755407166,0.430784917,4.393098998,3.500594187,10.07988527,21162.07387
11,20000,2.429294825,0.453512192,4.502925873,5.920044422,13.30577731,33575.33824,,20000,2.374497986,0.56783123,4.56004374,5.816589856,13.31896281,28180.42273
12,5000,0.522662878,0.262918949,4.134564161,0.641183853,5.561329842,8370.142184,,,,,,,,
12,10000,1.109195948,0.358210087,4.128539801,1.712642193,7.308588028,16456.80458,,,,,,,,
12,15000,1.80855608,0.433214903,4.317170858,3.442737341,10.00167918,24777.52582,,,,,,,,
12,20000,2.383565903,0.524997234,4.392037868,5.791214943,13.09181595,32907.36153,,,,,,,,
13,5000,0.538958073,0.292703867,4.643972874,0.753928185,6.229562998,8699.533152,,,,,,,,
13,10000,1.130230904,0.285145998,4.111400843,2.01920414,7.545981884,17311.00027,,,,,,,,
13,15000,1.733604908,0.436356068,4.384912014,3.729266167,10.28413916,25736.17072,,,,,,,,
13,20000,2.520752192,0.734273195,4.689258099,6.114990473,14.05927396,34276.2442,,,,,,,,
14,5000,0.568702936,0.250661135,4.388351917,0.580677032,5.788393021,4629.343844,,,,,,,,
14,10000,1.154636145,0.322931051,4.605931044,1.650397778,7.733896017,9213.373739,,,,,,,,
14,15000,1.85040307,0.432587147,4.484918118,3.319812775,10.08772111,13791.04578,,,,,,,,
14,20000,2.42488122,0.452594042,4.720119715,5.601068258,13.19866323,18196.33728,,,,,,,,
15,5000,0.570644379,0.265994787,4.734277248,0.635819674,6.206736088,7097.776375,,,,,,,,
15,10000,1.178093195,0.340426683,4.448370218,1.752779007,7.719669104,13949.66008,,,,,,,,
15,15000,1.845445871,0.452088118,4.227777958,3.488731861,10.01404381,20862.54735,,,,,,,,
15,20000,2.372233868,0.423166752,4.313380957,5.815093279,12.92387486,27832.55473,,,,,,,,
16,5000,0.572458982,0.279325962,5.189043045,0.659317017,6.700145006,8216.51676,,,,,,,,
16,10000,1.166632891,0.281615734,4.596579075,1.796303272,7.841130972,16138.80008,,,,,,,,
16,15000,1.708624125,0.471227884,4.785946131,3.547502995,10.51330113,24180.27813,,,,,,,,
16,20000,2.338694811,0.681709051,4.726187706,5.90671134,13.65330291,32370.7889,,,,,,,,
17,5000,0.51525116,0.257035971,4.643713951,0.640722036,6.056723118,6000.928485,,,,,,,,
17,10000,1.113544941,0.33624506,4.771203279,1.727658749,7.948652029,11679.71557,,,,,,,,
17,15000,1.715020895,0.353360891,4.546037912,3.425908327,10.04032803,17488.94489,,,,,,,,
17,20000,2.380917072,0.690449953,4.257125139,5.721516848,13.05000901,23185.26798,,,,,,,,
18,5000,0.517230988,0.262606144,4.405189991,0.646883726,5.831910849,6618.424072,,,,,,,,
18,10000,1.10854888,0.380053997,4.178533316,1.73147583,7.398612022,13204.44473,,,,,,,,
18,15000,1.712270737,0.438547373,4.26317811,3.453701735,9.867697954,19782.88392,,,,,,,,
18,20000,2.252890825,0.708636999,4.670947075,5.734961987,13.36743689,26474.50878,,,,,,,,
19,5000,0.528384924,0.253307343,4.498711824,0.643196821,5.923600912,6719.508435,,,,,,,,
19,10000,1.088485241,0.340907097,4.378304005,1.730995655,7.538691998,13491.27695,,,,,,,,
19,15000,1.717315197,0.353954077,4.209946871,3.418349028,9.699565172,19997.1572,,,,,,,,
19,20000,2.306001902,0.57297802,4.853497982,5.724328279,13.45680618,26753.3096,,,,,,,,
20,5000,0.531417131,0.246423006,4.126707792,0.671047211,5.57559514,6635.974089,,,,,,,,
20,10000,1.095052242,0.360539198,4.665032864,1.772026777,7.892651081,13141.52262,,,,,,,,
20,15000,1.715455055,0.37203598,4.04166317,3.568606853,9.697761059,19659.21771,,,,,,,,
20,20000,2.335747242,0.435994864,4.474956989,5.835968733,13.08266783,26232.51606,,,,,,,,
