seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,,,,,
11,1000,0.135070086,0.263206005,4.086087942,0.099055052,4.583419085,1478.027705,,0.139487433,0.184097338,4.1212394,0.096709681,4.541533852,1219.214371
11,5000,0.510459185,0.231668949,4.39780879,1.254343987,6.39428091,6580.849366,,0.505224204,0.252225542,4.357497859,1.047021723,6.161969328,5607.80221
11,10000,1.077670813,0.321197033,4.201375961,4.366050243,9.96629405,12907.80043,,1.061484408,0.334097052,4.245978308,3.879192424,9.520752192,10931.70921
11,15000,1.695426226,0.461136103,4.433193922,9.027648687,15.61740494,19227.59001,,1.657406116,0.39040761,4.238304496,8.340209723,14.62632794,16235.22587
11,20000,2.348903894,0.432841063,4.388367891,22.55059505,29.72070789,25394.01149,,2.29461987,0.511454964,4.384475207,22.34374909,29.53429914,21476.54265
12,1000,0.177373171,0.171424866,3.60306406,0.0874331,4.039295197,1386.045773,,,,,,,
12,5000,0.501891851,0.253902197,3.994030952,0.974554062,5.724379063,6529.278668,,,,,,,
12,10000,1.042504072,0.348899126,3.970949888,2.916128635,8.278481722,12690.9302,,,,,,,
12,15000,1.661497831,0.417345047,4.15073204,7.959130049,14.18870497,18841.07217,,,,,,,
12,20000,2.274855852,0.45793581,4.173960924,19.45023322,26.35698581,24981.30302,,,,,,,
13,1000,0.134603024,0.176600218,4.485052824,0.105929852,4.902185917,1492.57641,,,,,,,
13,5000,0.506546021,0.282751799,4.415187836,1.569789171,6.774274826,6651.817314,,,,,,,
13,10000,1.061588049,0.280727625,3.913818121,5.112107277,10.36824107,12963.60978,,,,,,,
13,15000,1.635915995,0.391227007,4.192137241,7.465790749,13.68507099,19306.61413,,,,,,,
13,20000,2.323776007,0.662940025,4.55486393,20.77332902,28.31490898,25587.13405,,,,,,,
14,1000,0.132072926,0.177222967,4.053429127,0.077759027,4.440484047,818.2279182,,,,,,,
14,5000,0.509718895,0.244958878,4.238354921,0.88904047,5.882073164,3776.267946,,,,,,,
14,10000,1.065751791,0.338501215,4.417470932,3.077496052,8.89921999,7393.116241,,,,,,,
14,15000,1.679639816,0.412635088,4.323776007,7.066128016,13.48217893,10983.36806,,,,,,,
14,20000,2.339832067,0.392144918,4.564081907,32.58918118,39.88524008,14398.74252,,,,,,,
15,1000,0.141808033,0.180224895,5.164179087,0.087490082,5.573702097,1193.944499,,,,,,,
15,5000,0.505515099,0.25393796,4.488133192,1.070935726,6.318521976,5555.161389,,,,,,,
15,10000,1.012242794,0.36444211,4.301941156,3.060818911,8.739444971,10785.44142,,,,,,,
15,15000,1.650201082,0.419440031,4.044774055,9.833977699,15.94839287,16042.43196,,,,,,,
15,20000,2.31855607,0.366048098,4.118456125,29.00692773,35.80998802,21204.54357,,,,,,,
16,1000,0.13281703,0.172411203,3.918987751,0.164864779,4.389080763,1430.521626,,,,,,,
16,5000,0.513119936,0.268185854,5.003398895,0.873998404,6.658703089,6447.303309,,,,,,,
16,10000,1.053547144,0.30087781,4.406737089,3.661547899,9.422709942,12495.56313,,,,,,,
16,15000,1.665613174,0.411722898,4.636315823,9.117875099,15.83152699,18459.59473,,,,,,,
16,20000,2.279944897,0.604323864,4.538233995,13.47796917,20.90047193,24606.85093,,,,,,,
17,1000,0.139575005,0.174025059,4.205030918,0.082808018,4.601438999,1022.447606,,,,,,,
17,5000,0.493015051,0.248234987,4.46108079,0.895709276,6.098040104,4717.330071,,,,,,,
17,10000,1.051720142,0.326677084,4.558426857,4.163269997,10.10009408,9172.790602,,,,,,,
17,15000,1.636151791,0.307864904,4.383631706,8.098793507,14.42644191,13592.74046,,,,,,,
17,20000,2.342823029,0.629919052,4.096543074,17.96276903,25.03205419,17864.26169,,,,,,,
18,1000,0.131522179,0.180458069,4.368695021,0.085975647,4.766650915,1108.411084,,,,,,,
18,5000,0.497688055,0.252497911,4.202679873,0.953369379,5.906235218,5251.389108,,,,,,,
18,10000,1.113862991,0.371927977,3.978451967,5.387229919,10.85147285,10268.113,,,,,,,
18,15000,1.645545959,0.411138058,4.205896139,7.135451794,13.39803195,15325.75435,,,,,,,
18,20000,2.230928898,0.641076803,4.477539063,35.605021,42.95456576,20157.61732,,,,,,,
19,1000,0.135595083,0.167350054,3.582533121,0.085711479,3.971189737,1159.471862,,,,,,,
19,5000,0.508623838,0.246571064,4.3510952,1.037198067,6.143488169,5302.731316,,,,,,,
19,10000,1.076273203,0.332463741,4.20188117,3.325503111,8.936121225,10423.4512,,,,,,,
19,15000,1.667896271,0.314214945,4.075551987,8.002854824,14.06051803,15389.61075,,,,,,,
19,20000,2.26728487,0.510360956,4.63835597,15.79192686,23.20792866,20400.73338,,,,,,,
20,1000,0.134437799,0.178050041,3.745334148,0.090069771,4.14789176,1102.469228,,,,,,,
20,5000,0.50566411,0.239545822,4.023208141,0.951278687,5.71969676,5265.893616,,,,,,,
20,10000,1.059683084,0.355256796,4.508729935,3.721772194,9.645442009,10216.27605,,,,,,,
20,15000,1.63617301,0.357352018,3.937036037,9.694446802,15.62500787,15183.48208,,,,,,,
20,20000,2.219293118,0.416959047,4.294349194,16.22953868,23.16014004,20170.22858,,,,,,,
