seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,,,,,
11,1000,0.297179222,0.220303059,4.956724167,0.244238377,5.718444824,1312.231303,,0.179195356,0.180651832,4.187070465,0.161261988,4.708179641,1158.015037
11,5000,0.530448914,0.24840188,4.612159014,2.547451258,7.938461065,6215.409466,,0.512253213,0.246252728,4.287488151,2.932978034,7.978972125,5498.88395
11,10000,1.061645985,0.353686094,3.840172052,7.55498457,12.8104887,12286.51032,,1.055698895,0.348315763,4.166921473,11.09813347,16.6690696,10827.18177
11,15000,1.643697023,0.327945948,4.280839205,21.94235969,28.19484186,18476.9601,,1.663625288,0.39915092,4.298025846,28.69430046,35.05510252,16134.8993
11,20000,2.337124109,0.460195065,4.075361967,31.01701689,37.88969803,24442.05449,,2.294120336,0.507018399,4.303720927,42.8839407,49.98880036,21475.94752
12,1000,0.171524048,0.178595781,3.830118179,0.110178232,4.290416241,1346.508844,,,,,,,
12,5000,0.491374016,0.266591787,4.208765268,3.571133852,8.537864923,6173.806252,,,,,,,
12,10000,1.031869888,0.360806942,4.166199923,17.3551333,22.91401005,12188.07045,,,,,,,
12,15000,1.651061058,0.449496031,4.638695955,26.34256506,33.0818181,18394.97732,,,,,,,
12,20000,2.257040739,0.427596092,4.055555105,47.29243612,54.03262806,24425.28353,,,,,,,
13,1000,0.135978937,0.172302246,4.297868013,0.172767878,4.778917074,1336.884166,,,,,,,
13,5000,0.50154686,0.248664141,4.066325188,3.53826499,8.354801178,6316.530074,,,,,,,
13,10000,1.061045885,0.352729082,4.062057972,9.11500597,14.59083891,12450.70398,,,,,,,
13,15000,1.625746965,0.423640251,4.562110901,30.49040413,37.10190225,18510.69285,,,,,,,
13,20000,2.269987106,0.566482067,4.341999054,58.49328971,65.67175794,24570.738,,,,,,,
14,1000,0.176986217,0.176612854,4.538746119,0.104837656,4.997182846,877.584822,,,,,,,
14,5000,0.501187086,0.214843035,4.2140553,1.240533829,6.170619249,4125.297746,,,,,,,
14,10000,1.051237106,0.310078144,4.113099098,6.248094559,11.72250891,8068.261965,,,,,,,
14,15000,1.664550066,0.380531788,4.040018797,15.18636346,21.27146411,12088.14173,,,,,,,
14,20000,2.309679985,0.374163866,4.423911095,18.73709297,25.84484792,16072.97107,,,,,,,
15,1000,0.138534307,0.175945759,3.877568722,0.160390377,4.352439165,1157.419111,,,,,,,
15,5000,0.52007699,0.215379238,3.409995079,1.96705389,6.112505198,5601.180717,,,,,,,
15,10000,1.058367014,0.346755981,4.226036787,8.998270273,14.62943006,10831.96562,,,,,,,
15,15000,1.671664715,0.36984992,4.195995808,28.32334161,34.56085205,15967.7016,,,,,,,
15,20000,2.323871136,0.5247612,4.471729994,30.13051581,37.45087814,21517.76195,,,,,,,
16,1000,0.131157875,0.166270018,3.72193718,0.131963015,4.151328087,1316.905505,,,,,,,
16,5000,0.504315853,0.266290903,4.719434977,3.422203302,8.912245035,6062.557907,,,,,,,
16,10000,1.054836273,0.331072092,4.00077796,10.90899062,16.29567695,12086.65295,,,,,,,
16,15000,1.690098286,0.450397015,4.429530859,41.05516791,47.62519407,17840.56033,,,,,,,
16,20000,2.231697798,0.429647923,4.31285882,40.19393754,47.16814208,23855.51241,,,,,,,
17,1000,0.183527946,0.173843861,4.317497969,0.175627232,4.850497007,994.2175535,,,,,,,
17,5000,0.493039131,0.245472193,4.455070972,4.04656291,9.240145206,4711.641338,,,,,,,
17,10000,1.040304899,0.306649208,4.092780113,12.85812879,18.29786301,9380.38295,,,,,,,
17,15000,1.671416998,0.361802101,4.159374952,26.52823377,32.72082782,13958.28104,,,,,,,
17,20000,2.344964266,0.612785816,4.473193884,36.25817013,43.68911409,18669.31458,,,,,,,
18,1000,0.248156786,0.197193861,4.015595198,0.219316959,4.680262804,1061.171655,,,,,,,
18,5000,0.526811123,0.25040102,4.184414864,3.161729336,8.123356342,5200.126285,,,,,,,
18,10000,1.090068102,0.333509684,4.594167948,9.802206993,15.81995273,10346.63582,,,,,,,
18,15000,1.689434052,0.433505058,4.563816071,37.18266582,43.86942101,15397.34556,,,,,,,
18,20000,2.272237062,0.561922073,4.459629059,35.51165104,42.80543923,20555.82053,,,,,,,
19,1000,0.16823411,0.171619892,4.260142088,0.175352097,4.775348186,1087.220647,,,,,,,
19,5000,0.546775103,0.24566412,4.258029699,2.618080139,7.668549061,5365.236699,,,,,,,
19,10000,1.043315887,0.426246166,4.120896816,16.48579693,22.0762558,10433.00286,,,,,,,
19,15000,1.704365015,0.447271109,4.259490728,37.91734791,44.32847476,15477.16337,,,,,,,
19,20000,2.31248498,0.451004028,4.021720171,52.36978483,59.15499401,20640.98643,,,,,,,
20,1000,0.140674114,0.173830986,4.054507017,0.117948055,4.486960173,1090.006762,,,,,,,
20,5000,0.506957054,0.260818958,4.746631145,3.216766834,8.731173992,5217.053017,,,,,,,
20,10000,1.064297915,0.361624241,4.453026056,11.65472269,17.5336709,10199.63076,,,,,,,
20,15000,1.624218702,0.347069979,3.850385189,21.97455525,27.79622912,15237.16912,,,,,,,
20,20000,2.282116175,0.661625862,4.401250124,78.83551192,86.18050408,20009.03219,,,,,,,
