seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,,,,,
11,1000,0.433504105,0.000668764,0.434172869,1281.606129,,,,0.395330405,0.000646782,0.395977187,1102.489739
11,5000,9.418280125,0.003219843,9.421499968,6088.522121,,,,9.354800177,0.003187346,9.357987523,5402.96406
11,10000,37.27452493,0.006489038,37.28101397,12103.22421,,,,37.4594064,0.006552076,37.46595848,10717.86932
11,15000,83.91259289,0.009792089,83.92238498,18261.46599,,,,84.40872188,0.009744763,84.41846664,16041.59677
11,20000,151.6133928,0.013139963,151.6265328,24235.91952,,,,152.4277768,0.01325984,152.4410367,21364.6667
12,1000,0.393074036,0.000645876,0.393719912,1245.088027,,,,,,,
12,5000,9.295109749,0.003186226,9.298295975,6121.298034,,,,,,,
12,10000,37.56361914,0.006505966,37.5701251,12159.80043,,,,,,,
12,15000,84.36610293,0.009654999,84.37575793,18198.43631,,,,,,,
12,20000,152.4494877,0.013366222,152.4628539,24255.61676,,,,,,,
13,1000,0.393672228,0.000645876,0.394318104,1269.21763,,,,,,,
13,5000,9.298693895,0.003177166,9.301871061,6167.671752,,,,,,,
13,10000,37.29923987,0.006462336,37.30570221,12274.08729,,,,,,,
13,15000,83.95775294,0.009777069,83.96753001,18324.25816,,,,,,,
13,20000,151.735945,0.013148785,151.7490938,24481.75561,,,,,,,
14,1000,0.393249035,0.000640869,0.393889904,819.7007032,,,,,,,
14,5000,9.307924986,0.003167152,9.311092138,4010.170767,,,,,,,
14,10000,37.35656404,0.006637812,37.36320186,7974.190668,,,,,,,
14,15000,83.98837471,0.009747267,83.99812198,12038.31212,,,,,,,
14,20000,151.4123738,0.013146162,151.4255199,15941.67748,,,,,,,
15,1000,0.391274452,0.000642776,0.391917229,1097.627765,,,,,,,
15,5000,9.434920788,0.003167152,9.43808794,5453.459623,,,,,,,
15,10000,37.38007402,0.006477833,37.38655186,10701.80908,,,,,,,
15,15000,84.52352405,0.009741068,84.53326511,15892.05211,,,,,,,
15,20000,153.9598711,0.013084173,153.9729552,21357.17267,,,,,,,
16,1000,0.389301062,0.000641584,0.389942646,1240.407097,,,,,,,
16,5000,9.338464022,0.003211975,9.341675997,5962.409111,,,,,,,
16,10000,37.50378084,0.006557226,37.51033807,11958.51725,,,,,,,
16,15000,84.88164425,0.009592772,84.89123702,17855.73935,,,,,,,
16,20000,152.3591702,0.01363802,152.3728082,23667.29574,,,,,,,
17,1000,0.390719891,0.000649214,0.391369104,968.3582782,,,,,,,
17,5000,9.343715191,0.003216982,9.346932173,4664.524126,,,,,,,
17,10000,37.44971585,0.006468058,37.45618391,9310.862677,,,,,,,
17,15000,84.26990914,0.009768248,84.27967739,13926.91381,,,,,,,
17,20000,152.3746569,0.013222933,152.3878798,18574.16406,,,,,,,
18,1000,0.390014172,0.00065279,0.390666962,1028.704148,,,,,,,
18,5000,9.396489859,0.003183842,9.3996737,5138.327105,,,,,,,
18,10000,37.58585811,0.006523132,37.59238124,10216.36918,,,,,,,
18,15000,84.67402077,0.009754181,84.68377495,15363.34213,,,,,,,
18,20000,152.658061,0.013395071,152.6714561,20512.30442,,,,,,,
19,1000,0.388852119,0.000634909,0.389487028,1047.270741,,,,,,,
19,5000,9.359050035,0.003176212,9.362226248,5299.849948,,,,,,,
19,10000,37.708745,0.006923199,37.7156682,10386.11584,,,,,,,
19,15000,84.86541986,0.009878159,84.87529802,15467.19415,,,,,,,
19,20000,152.6198909,0.013206005,152.6330969,20552.26749,,,,,,,
20,1000,0.389642954,0.000645161,0.390288115,1026.916867,,,,,,,
20,5000,9.355353117,0.003166914,9.358520031,5123.408011,,,,,,,
20,10000,37.47194219,0.006476164,37.47841835,10093.7166,,,,,,,
20,15000,84.64787722,0.009741783,84.657619,15088.25353,,,,,,,
20,20000,153.094919,0.013251066,153.10817,20068.49324,,,,,,,
