seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,,,,,
11,1000,0.155345917,0.262904882,4.255503178,0.116563082,4.790317059,1382.690039,,0.145668912,0.195550394,4.358022833,0.140007377,4.839249516,1097.930177
11,5000,0.506103039,0.254132986,4.530672073,3.633960724,8.924868822,6338.489603,,0.533501291,0.248149848,4.682096624,2.762992644,8.226740408,5220.732493
11,10000,1.035787106,0.333338976,4.442085028,7.744285822,13.55549693,12620.71846,,1.023452854,0.342168188,4.69434011,12.81957192,18.87953308,10281.47087
11,15000,1.629395962,0.474219084,4.812393904,23.89748502,30.81349397,18801.13382,,1.63159852,0.43026526,4.994200683,27.18395565,34.24002011,15372.28313
11,20000,2.249719858,0.582663298,4.764515877,72.32123017,79.91812921,24981.6967,,2.226327372,0.567997742,4.861822987,54.83138404,62.48753214,20413.66277
12,1000,0.158286095,0.242476225,4.65173912,0.145245552,5.197746992,1296.540398,,,,,,,
12,5000,0.499913931,0.27185297,5.046242952,2.790560246,8.608570099,6150.769192,,,,,,,
12,10000,1.016125202,0.333981991,4.702735186,8.644793749,14.69763613,11973.94109,,,,,,,
12,15000,1.618623018,0.355065107,5.006148815,32.873142,39.85297894,17931.9361,,,,,,,
12,20000,2.170688868,0.505146027,4.780194998,37.28935218,44.74538207,23968.82147,,,,,,,
13,1000,0.159874201,0.183226824,4.3805511,0.140189886,4.86384201,1352.600388,,,,,,,
13,5000,0.514697075,0.258388996,5.14315486,3.148598194,9.064839125,6462.541562,,,,,,,
13,10000,1.021155119,0.332214832,4.824578047,16.08440995,22.26235795,12654.2361,,,,,,,
13,15000,1.600481987,0.484288931,5.149291039,36.88790894,44.12197089,18944.929,,,,,,,
13,20000,2.275900841,0.386296034,4.936120033,22.30010891,29.89842582,25437.15946,,,,,,,
14,1000,0.138525009,0.177775145,4.23865819,0.192827702,4.747786045,643.8517556,,,,,,,
14,5000,0.501517057,0.227802038,4.648139954,1.994535685,7.371994734,3192.559066,,,,,,,
14,10000,1.02004385,0.373663187,4.951556921,10.32058883,16.66585279,6271.568108,,,,,,,
14,15000,1.663175106,0.47070694,4.971752882,34.93580508,42.04144001,9398.470102,,,,,,,
14,20000,2.273168087,0.718396187,5.459576845,76.92250586,85.37364697,12351.71987,,,,,,,
15,1000,0.161213875,0.180894852,4.195677996,0.126505136,4.664291859,1090.117237,,,,,,,
15,5000,0.589275837,0.233413935,4.623651981,1.531561136,6.977902889,5179.830816,,,,,,,
15,10000,1.003302097,0.335422039,4.379817963,6.177810907,11.89635301,10172.42953,,,,,,,
15,15000,1.5785501,0.449051857,5.50406909,24.77967811,32.31134915,15204.00964,,,,,,,
15,20000,2.182947159,0.555882931,4.683458805,61.06817317,68.49046206,20157.82109,,,,,,,
16,1000,0.129070997,0.184874058,4.691172123,0.118077993,5.123195171,1299.06744,,,,,,,
16,5000,0.491770029,0.257852077,4.750277758,3.882936954,9.382836819,6012.966642,,,,,,,
16,10000,1.032031059,0.340276003,4.75593996,16.40738893,22.53563595,11973.11642,,,,,,,
16,15000,1.721693993,0.362455845,4.86809206,24.60547805,31.55771995,17741.22533,,,,,,,
16,20000,2.287148952,0.611204863,4.860410213,78.55626297,86.315027,23569.90778,,,,,,,
17,1000,0.162774801,0.178449154,3.91435194,0.106047153,4.361623049,896.6769774,,,,,,,
17,5000,0.608758211,0.254792929,4.499257088,2.74570179,8.108510017,4217.696179,,,,,,,
17,10000,1.01158905,0.365871668,4.593312025,19.16556835,25.13634109,8302.238405,,,,,,,
17,15000,1.608348131,0.387782812,4.650576115,36.81157184,43.45827889,12326.87377,,,,,,,
17,20000,2.235605001,0.572772026,4.782022953,53.42754507,61.01794505,16357.54047,,,,,,,
18,1000,0.130016088,0.179369926,3.998811722,0.174722195,4.482919931,967.6584856,,,,,,,
18,5000,0.511689901,0.226413727,4.266674995,4.254407167,9.259185791,4786.366324,,,,,,,
18,10000,1.046152115,0.354222775,4.568361044,10.92079091,16.88952684,9495.666922,,,,,,,
18,15000,1.627130032,0.448068857,5.193284035,23.24439526,30.51287818,14290.94714,,,,,,,
18,20000,2.170195103,0.601299286,4.77114296,40.11009693,47.65273428,18983.5372,,,,,,,
19,1000,0.12936902,0.180121899,4.535340071,0.139204025,4.984035015,1039.790009,,,,,,,
19,5000,0.606525898,0.258705854,5.02083087,1.562933207,7.448995829,4960.996231,,,,,,,
19,10000,1.041162014,0.324354172,4.7193501,17.87510061,23.9599669,9680.293934,,,,,,,
19,15000,1.61452198,0.457032204,5.025290966,19.0088017,26.10564685,14535.19178,,,,,,,
19,20000,2.251827955,0.651303053,4.928070068,72.80298209,80.63418317,19177.24257,,,,,,,
20,1000,0.132213116,0.185410976,4.71842289,0.140691042,5.176738024,1010.309043,,,,,,,
20,5000,0.504761934,0.238142967,4.292063713,2.08473134,7.119699955,4905.109319,,,,,,,
20,10000,1.007180929,0.328336239,5.005664825,14.85498118,21.19616318,9670.499776,,,,,,,
20,15000,1.654064894,0.413980961,4.761107922,14.79529047,21.62444425,14548.11466,,,,,,,
20,20000,2.166071892,0.495013714,4.652717113,33.51558304,40.82938576,19151.18115,,,,,,,
