seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,,,,,
11,5000,0.54334712,0.259190083,4.551349163,0.953167439,6.307053804,6643.632523,,0.539444113,0.246629024,4.729091883,1.064483166,6.579648185,5438.716158
11,10000,1.047789097,0.330691099,4.425472021,2.791293859,8.595246077,13088.52654,,1.067647982,0.351038122,4.73849206,3.689944124,9.847122288,10622.7249
11,15000,1.674176931,0.475185156,4.982267857,9.08424139,16.21587133,19364.84948,,1.698052692,0.437461567,5.021882248,8.646030021,15.80342653,15817.2281
11,20000,2.415197372,0.548473835,4.825126886,21.3311007,29.1198988,25579.23017,,2.321194077,0.590220881,4.883998823,15.73571682,23.5311306,20945.62735
12,5000,0.544418812,0.273361206,5.136244059,1.067458868,7.021482944,6389.199913,,,,,,,
12,10000,1.18082881,0.373337269,5.136107922,3.639522076,10.32979608,12357.50705,,,,,,,
12,15000,1.806088924,0.318695068,5.130609751,11.41975737,18.67515111,18450.30913,,,,,,,
12,20000,2.367841005,0.467312098,4.759643078,17.30925584,24.90405202,24396.63461,,,,,,,
13,5000,0.520480156,0.236778975,5.085638285,0.902496338,6.745393753,6807.270813,,,,,,,
13,10000,1.06256485,0.338735104,4.907612085,3.546156883,9.855068922,13215.29455,,,,,,,
13,15000,1.660995245,0.486495972,5.181944847,9.678231955,17.00766802,19593.13424,,,,,,,
13,20000,2.351418257,0.435143948,4.850968838,14.53793597,22.17546701,25938.2474,,,,,,,
14,5000,0.548545122,0.249357939,4.771404982,0.921207905,6.490515947,3286.627479,,,,,,,
14,10000,1.08089304,0.386984825,5.024948835,2.708904982,9.201731682,6495.481542,,,,,,,
14,15000,1.829222918,0.453606129,5.083701611,7.929524422,15.29605508,9677.426462,,,,,,,
14,20000,2.46266222,0.799013853,5.610510111,12.61286974,21.48505592,12758.94233,,,,,,,
15,5000,0.546949863,0.214315176,4.768490076,0.983640909,6.513396025,5349.846103,,,,,,,
15,10000,1.069582224,0.356284857,4.457602024,3.452990055,9.33645916,10399.63831,,,,,,,
15,15000,1.66954875,0.48331809,5.387503147,7.298575878,14.83894587,15606.26647,,,,,,,
15,20000,2.255955935,0.597779989,4.657302141,14.80733109,22.31836915,20675.4743,,,,,,,
16,5000,0.526273012,0.253589869,4.756360769,1.03931427,6.57553792,6277.353386,,,,,,,
16,10000,1.026422024,0.340256929,4.683143139,3.18486166,9.234683752,12378.71466,,,,,,,
16,15000,1.742272854,0.395569086,4.684499979,11.95968008,18.782022,18265.83385,,,,,,,
16,20000,2.309711933,0.610561132,4.887791872,21.78456306,29.592628,24351.67134,,,,,,,
17,5000,0.53730917,0.253277063,4.523205757,1.112387896,6.426179886,4387.173629,,,,,,,
17,10000,1.028315783,0.369156122,4.548463821,4.101130247,10.04706597,8566.022423,,,,,,,
17,15000,1.640751123,0.390522003,4.715275049,8.024507761,14.77105594,12673.33742,,,,,,,
17,20000,2.289498091,0.578973055,4.813359022,11.60613775,19.28796792,16900.67334,,,,,,,
18,5000,0.541582108,0.23024106,4.31876874,1.58492589,6.675517797,4971.304873,,,,,,,
18,10000,1.051150799,0.357187986,4.587258101,4.231933117,10.22753,9746.573982,,,,,,,
18,15000,1.657585859,0.454153061,5.158318043,6.846291065,14.11634803,14669.88786,,,,,,,
18,20000,2.268477917,0.650127888,4.800816059,12.64928627,20.36870813,19431.86043,,,,,,,
19,5000,0.552621841,0.257469893,5.081717968,0.836123228,6.72793293,5187.739441,,,,,,,
19,10000,1.112565041,0.329782009,4.670084953,4.377085209,10.48951721,10035.95032,,,,,,,
19,15000,1.630984068,0.461950302,5.150699139,8.050797462,15.29443097,14910.91456,,,,,,,
19,20000,2.268675089,0.71280694,4.939365149,18.24256468,26.16341186,19682.49829,,,,,,,
20,5000,0.532913923,0.238708973,4.297739029,1.244108915,6.31347084,5087.013418,,,,,,,
20,10000,1.016368151,0.327965021,4.944227695,4.865563154,11.15412402,9943.539628,,,,,,,
20,15000,1.668900251,0.455120802,4.744003057,6.168692827,13.03671694,14960.32156,,,,,,,
20,20000,2.222502947,0.502016068,4.695105076,12.47612309,19.89574718,19741.04135,,,,,,,
