seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,42.28655219,0.006880045,42.29343224,11337.07479,,41.60324595,11056.64384
12,60,41.4028511,0.007000923,41.40985203,11105.65452,,,
13,60,40.95676804,0.007472038,40.96424007,11887.14096,,,
14,60,41.39198995,0.006942987,41.39893293,10043.84961,,,
15,60,41.58041334,0.006899834,41.58731318,11247.43251,,,
16,60,41.56466913,0.006844997,41.57151413,11676.93173,,,
17,60,41.66004181,0.007062912,41.66710472,11148.53368,,,
18,60,41.58617091,0.008329153,41.59450006,10990.06355,,,
19,60,41.72222376,0.007146358,41.72937012,10358.47552,,,
20,60,41.80935192,0.006848097,41.81620002,10771.28156,,,
