seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.948068142,0.237891912,0.98510313,4.202022076,6.37308526,11570.53658,,8.020996237,11389.16869
12,60,1.007612944,0.176694155,0.948297024,4.883287191,7.015891314,12164.51652,,,
13,60,0.94875288,0.166274071,0.863145828,5.298180103,7.276352882,12577.55986,,,
14,60,0.963397741,0.248155117,0.97986269,3.735085726,5.926501274,11081.92411,,,
15,60,0.928246975,0.217180252,0.858198643,10.82189322,12.82551908,10691.29833,,,
16,60,0.937314987,0.283667088,0.948917866,6.202602148,8.372502089,11445.3982,,,
17,60,0.920991898,0.195589066,0.893687963,5.949753046,7.960021973,11505.30423,,,
18,60,1.007989168,0.225323915,0.948291779,6.49136138,8.672966242,11217.28073,,,
19,60,0.998375893,0.170356989,0.85738802,6.335837364,8.361958265,10535.46809,,,
20,60,0.973330975,0.195033073,0.905370712,5.351429224,7.425163984,11102.40027,,,
