seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,40.56908393,0.007001162,40.57608509,11359.11936,,40.55200253,11201.92356
12,60,40.52673507,0.007003069,40.53373814,11889.9685,,,
13,60,40.51863003,0.006979942,40.52560997,12334.97551,,,
14,60,40.49177408,0.008526087,40.50030017,10832.35239,,,
15,60,40.540097,0.00699091,40.54708791,10619.56732,,,
16,60,40.59235287,0.007032871,40.59938574,11310.54628,,,
17,60,40.57139301,0.006973028,40.57836604,11335.23458,,,
18,60,40.49064016,0.006939888,40.49758005,11070.1512,,,
19,60,40.57934093,0.006850243,40.58619118,10371.3158,,,
20,60,40.56861067,0.007070303,40.57568097,10896.00471,,,
