seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.936878204,0.250510931,1.042155981,4.797132969,7.026678085,11690.32931,,8.308931422,11550.74234
12,60,0.951361895,0.186732054,0.937692881,7.454690218,9.530477047,12182.50727,,,
13,60,0.944573879,0.138506174,0.983981133,5.169303894,7.23636508,12580.1029,,,
14,60,0.926501036,0.272409916,0.933998108,7.547508955,9.680418015,11134.42298,,,
15,60,0.942380905,0.162769794,0.992879868,6.283379555,8.381410122,11419.33813,,,
16,60,0.938074112,0.261737823,0.993675947,3.900579453,6.094067335,12148.06405,,,
17,60,0.956694126,0.177498102,0.924251795,5.995087862,8.053531885,11184.77614,,,
18,60,0.962169886,0.243293047,0.985769987,7.354934931,9.54616785,11405.33002,,,
19,60,0.943545103,0.193554878,0.989417076,5.237262011,7.363779068,10674.80248,,,
20,60,0.934869051,0.191757917,0.96757102,8.082221746,10.17641973,11087.75015,,,
