seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.938328981,0.232764244,0.902957916,20.66739988,22.74145103,11081.14928,,16.19108377,11134.19972
12,60,0.980630159,0.150693893,0.879581928,8.041027069,10.05193305,11268.54495,,,
13,60,0.99025321,0.186568022,0.89560914,18.05966353,20.13209391,11278.62746,,,
14,60,0.945391893,0.170793772,0.793330908,10.0744884,11.98400497,11061.24923,,,
15,60,0.942522764,0.248617887,0.90321207,12.99082017,15.08517289,11126.26194,,,
16,60,0.970831156,0.201853752,0.932799816,11.20441723,13.30990195,11452.45634,,,
17,60,0.937484264,0.206007957,0.800271749,19.81291008,21.75667405,11001.9436,,,
18,60,0.959545851,0.138581991,0.836421251,8.39588809,10.33043718,11307.88829,,,
19,60,0.971504927,0.235087872,0.861067057,19.32120395,21.3888638,10924.72055,,,
20,60,0.953964949,0.205124855,0.903581858,13.06763315,15.13030481,10839.15555,,,
