seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.984415054,0.202239037,0.957923174,1.708706617,3.853283882,15709.82216,,3.906978536,15227.6488
12,60,0.990046978,0.22311306,0.991419792,1.697064161,3.901643991,16305.06565,,,
13,60,0.980764151,0.177414894,1.020170927,1.732362747,3.910712719,15921.62283,,,
14,60,1.028938055,0.20029068,1.023217916,1.68440032,3.936846972,15083.47662,,,
15,60,0.935204983,0.213054895,0.970601082,1.710946798,3.829807758,15125.76462,,,
16,60,0.962262154,0.208465099,1.014916897,1.715870857,3.901515007,16002.31409,,,
17,60,0.976103067,0.254239082,1.041819334,1.72030139,3.992462873,14090.16022,,,
18,60,0.991207123,0.218098164,0.968439102,1.706789732,3.884534121,15735.81712,,,
19,60,0.958920956,0.225638151,1.034312963,1.658435822,3.877307892,14108.69306,,,
20,60,1.003455162,0.20498991,1.064792156,1.708432913,3.981670141,14193.7516,,,
