seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.950146914,0.285964966,1.079139948,1.835706949,4.150958776,16875.19317,,3.867701721,14098.31984
12,60,0.978526115,0.178515911,0.804678917,1.72124815,3.682969093,16347.96563,,,
13,60,0.991543055,0.137197018,0.769131899,1.954941034,3.852813005,17079.15037,,,
14,60,1.044455051,0.192421198,1.03459096,1.662307978,3.933775187,9185.200886,,,
15,60,0.97012496,0.156115294,0.892416,1.698348999,3.717005253,13891.01159,,,
16,60,0.954372168,0.18569994,0.7787292,1.797277689,3.716078997,16040.08049,,,
17,60,0.960109711,0.241501093,1.104937077,1.7237041,4.03025198,11666.27085,,,
18,60,0.973634958,0.170228004,0.870093107,1.726374865,3.740330935,13250.82894,,,
19,60,1.01990819,0.260372877,0.865502119,1.737881899,3.883665085,13481.9651,,,
20,60,1.035064697,0.254018068,0.881938934,1.798147202,3.969168901,13165.53135,,,
