seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,,,,,
11,3,0.896369934,0.022938013,0.000102758,22.08296037,23.00237107,12158.56003,,0.772660041,0.019734621,0.000440621,20.58655679,21.37939208,10746.9048
11,9,0.795371056,0.02251029,0.000803709,21.16682291,21.98550797,12195.5423,,0.755181766,0.030225062,0.000893927,18.55222001,19.33852077,10801.78608
11,15,0.841878891,0.06532979,0.005684853,8.703110218,9.616003752,12342.89125,,0.791152453,0.04606657,0.004870462,12.34216475,13.18425424,10877.10805
11,21,0.808693886,0.063544989,0.016065121,11.70966387,12.59796786,12345.43112,,0.801513505,0.057380033,0.016333938,10.5898885,11.46511598,10911.32858
11,27,0.822074175,0.097241163,0.067220926,5.985553741,6.972090006,12402.18132,,0.807834411,0.090816545,0.047686553,8.411250758,9.357588267,10951.62025
11,30,0.80442214,0.061987162,0.063417196,7.907328606,8.837155104,12398.27348,,0.807444167,0.086546731,0.062155366,8.708295345,9.664441609,10959.153
11,45,0.90295887,0.148834944,0.323402882,4.282014132,5.657210827,12525.96142,,0.873233557,0.143024588,0.319867516,6.428790069,7.764915729,11039.76773
11,60,0.949565172,0.200608969,0.946088076,4.433965683,6.5302279,12573.57486,,0.939139819,0.210370898,0.955722308,5.098184681,7.203417706,11093.79749
11,90,1.052283287,0.3641572,4.68078804,3.09685564,9.194084167,12680.56976,,1.043257117,0.351413655,4.670747328,3.420181775,9.485599875,11213.38569
11,120,1.210466146,0.533770084,16.82476974,3.165506124,21.73451209,12767.11495,,1.200560474,0.528226709,15.39649289,3.064890814,20.19017088,11285.56108
12,3,0.771528006,0.021430969,0.000602007,21.93192387,22.72548485,12142.23739,,,,,,,
12,9,0.773504019,0.035677195,0.001027107,21.21368885,22.02389717,12188.98264,,,,,,,
12,15,0.820470095,0.035427094,0.004448891,19.57696986,20.43731594,12218.78357,,,,,,,
12,21,0.853513002,0.06451416,0.016655207,10.35465074,11.28933311,12323.72091,,,,,,,
12,27,0.843191147,0.127564192,0.045814037,5.223280668,6.239850044,12420.86057,,,,,,,
12,30,0.800382853,0.113003731,0.066718817,6.166763783,7.146869183,12462.44059,,,,,,,
12,45,0.856434822,0.136187077,0.315736055,4.304162025,5.612519979,12516.26315,,,,,,,
12,60,0.928487062,0.223912001,1.028490067,5.001045704,7.181934834,12600.4032,,,,,,,
12,90,1.026242971,0.361181974,5.038227081,3.450787783,9.87643981,12722.24447,,,,,,,
12,120,1.220877171,0.57900691,16.07012582,2.783174038,20.65318394,12798.74963,,,,,,,
13,3,0.730480909,0.010186911,0.000622272,20.98799801,21.7292881,12396.57149,,,,,,,
13,9,0.73664093,0.027551889,0.000849962,11.31672025,12.08176303,12510.32888,,,,,,,
13,15,0.768050194,0.035340786,0.004565954,8.859341145,9.667298079,12613.04138,,,,,,,
13,21,0.792264223,0.039908886,0.015851974,9.177947998,10.02597308,12604.52591,,,,,,,
13,27,0.794597149,0.062839985,0.039993048,8.856762648,9.754192829,12631.85376,,,,,,,
13,30,0.8277812,0.109818935,0.063827991,16.10275412,17.10418224,12407.53622,,,,,,,
13,45,0.884302855,0.15498805,0.319519043,10.31726289,11.67607284,12648.0743,,,,,,,
13,60,0.951910257,0.177127838,0.916475773,11.27064204,13.31615591,12536.11741,,,,,,,
13,90,1.052759886,0.356082201,4.452883244,3.485224724,9.346950054,12863.47778,,,,,,,
13,120,1.207650661,0.495567322,15.11914802,3.447103977,20.26946998,12923.42174,,,,,,,
14,3,0.737404823,0.019013882,0.000522852,20.71622252,21.47316408,7974.004748,,,,,,,
14,9,0.754499197,0.041416883,0.0009799,19.95492887,20.75182486,7981.027803,,,,,,,
14,15,0.785758972,0.05644393,0.005334139,7.929532051,8.777069092,8062.323976,,,,,,,
14,21,0.765951872,0.046925068,0.015945911,9.233550072,10.06237292,8079.148831,,,,,,,
14,27,0.795205832,0.07891202,0.041512966,6.812555075,7.728185892,8119.563606,,,,,,,
14,30,0.821683884,0.066534996,0.064753056,7.842325211,8.795297146,8166.08891,,,,,,,
14,45,0.855235815,0.087185144,0.287674665,8.248213291,9.478308916,8158.818611,,,,,,,
14,60,0.920879126,0.155436039,0.957983017,5.632910013,7.667208195,8192.087741,,,,,,,
14,90,1.017620087,0.328389883,4.735139132,4.030549765,10.11169887,8267.947111,,,,,,,
14,120,1.19861722,0.466506958,14.25765991,3.312282085,19.23506618,8346.145296,,,,,,,
15,3,0.710701942,0.019841671,0.000500917,20.36836958,21.09941411,10773.91188,,,,,,,
15,9,0.724948168,0.035284996,0.000852346,20.13659954,20.89768505,10812.13072,,,,,,,
15,15,0.754426956,0.057905197,0.004570007,14.59460592,15.41150808,10873.35932,,,,,,,
15,21,0.771533966,0.082677126,0.018885136,9.085043669,9.958139896,10973.85627,,,,,,,
15,27,0.758089066,0.087417126,0.067436695,6.68101716,7.593960047,10997.84942,,,,,,,
15,30,0.800683975,0.090707064,0.06241107,9.971315861,10.92511797,10937.77981,,,,,,,
15,45,0.845254183,0.13007617,0.352325916,5.36405468,6.691710949,11056.1727,,,,,,,
15,60,0.929816723,0.256785154,1.011090994,3.988327026,6.186019897,11099.03075,,,,,,,
15,90,1.031866074,0.361479998,4.573531151,3.215034962,9.181912184,11213.29401,,,,,,,
15,120,1.185966969,0.53547287,16.1855402,3.016981125,20.92396116,11235.93273,,,,,,,
16,3,0.733610868,0.02241993,0.000436068,20.81813407,21.57460093,11886.25068,,,,,,,
16,9,0.717552185,0.033041954,0.00095892,19.76187968,20.51343274,11960.80018,,,,,,,
16,15,0.750291109,0.03707099,0.005360842,18.02073598,18.81345892,11994.84258,,,,,,,
16,21,0.779783964,0.08977294,0.019972086,12.65826797,13.54779696,12037.23427,,,,,,,
16,27,0.79556489,0.099586725,0.051617146,12.20150924,13.148278,12079.97147,,,,,,,
16,30,0.802372932,0.108052015,0.058885098,7.915900946,8.885210991,12238.18325,,,,,,,
16,45,0.835945845,0.150207996,0.328649998,9.502630234,10.81743407,12162.22183,,,,,,,
16,60,0.921555996,0.224148035,0.924911261,3.98075676,6.051372051,12467.3296,,,,,,,
16,90,1.072229862,0.307286024,4.486229181,3.498451948,9.364197016,12521.65978,,,,,,,
16,120,1.15846777,0.521523952,14.82210207,3.479149342,19.98124313,12537.6636,,,,,,,
17,3,0.764082909,0.011378765,0.000423193,20.6257441,21.40162897,9303.400659,,,,,,,
17,9,0.74710083,0.011301756,0.000733137,18.82502413,19.58415985,9346.569757,,,,,,,
17,15,0.788822174,0.043035746,0.004561901,6.622903347,7.459323168,9459.844869,,,,,,,
17,21,0.793930054,0.047737122,0.015754938,6.033039808,6.890461922,9498.442223,,,,,,,
17,27,0.813903809,0.060265064,0.039155006,5.374958992,6.288282871,9508.390979,,,,,,,
17,30,0.779044867,0.062586069,0.059007883,7.113844395,8.014483213,9518.31493,,,,,,,
17,45,0.864202976,0.133225918,0.309568167,5.667941809,6.974938869,9560.001421,,,,,,,
17,60,0.926092863,0.172523975,0.921025991,5.111925364,7.131568193,9593.454538,,,,,,,
17,90,1.022948742,0.318723202,4.685909986,4.576534986,10.60411692,9653.60894,,,,,,,
17,120,1.188232899,0.554635048,15.89549685,3.325027227,20.96339202,9781.910445,,,,,,,
18,3,0.844694138,0.026388884,0.00045681,21.2176311,22.08917093,10232.37913,,,,,,,
18,9,0.780776024,0.020718813,0.000717163,18.61791587,19.42012787,10337.01428,,,,,,,
18,15,0.819579124,0.032169104,0.004564047,11.61396599,12.47027826,10390.71995,,,,,,,
18,21,0.833693027,0.037031889,0.014619112,11.10834885,11.99369287,10401.41009,,,,,,,
18,27,0.839823961,0.123909235,0.043902159,8.874345541,9.881980896,10442.20855,,,,,,,
18,30,0.800443888,0.076805115,0.057837725,9.228203297,10.16329002,10520.3566,,,,,,,
18,45,0.911856174,0.165975809,0.344473124,3.500067949,4.922373056,10623.39148,,,,,,,
18,60,0.971970081,0.240323067,0.942899942,3.392431974,5.547625065,10624.53736,,,,,,,
18,90,1.068279028,0.348446846,4.596004725,2.949680328,8.962410927,10717.40367,,,,,,,
18,120,1.223739862,0.547345877,14.68701005,2.759470463,19.21756625,10868.36808,,,,,,,
19,3,0.786519766,0.023624897,0.000352144,16.01072907,16.82122588,10468.87602,,,,,,,
19,9,0.771980047,0.033566952,0.000969887,14.27278113,15.07929802,10527.23609,,,,,,,
19,15,0.802603006,0.048910141,0.00504899,11.46865988,12.32522202,10580.2057,,,,,,,
19,21,0.824043036,0.050450087,0.014755011,10.66918492,11.55843306,10602.91862,,,,,,,
19,27,0.810927153,0.098126888,0.039623737,8.512266397,9.460944176,10657.38465,,,,,,,
19,30,0.802262783,0.07506609,0.061587095,8.756128073,9.695044041,10571.30146,,,,,,,
19,45,0.890722275,0.153996944,0.303328037,5.25685358,6.604900837,10766.09993,,,,,,,
19,60,0.936937094,0.270136118,0.976538897,4.382989883,6.566601992,10749.0578,,,,,,,
19,90,1.044024229,0.39625001,4.579227686,2.796261072,8.815762997,10895.91121,,,,,,,
19,120,1.2146101,0.523727179,14.97148609,2.656295538,19.36611891,10926.42547,,,,,,,
20,3,0.751207113,0.02012229,0.000387192,21.10585523,21.87757182,10132.856,,,,,,,
20,9,0.7494452,0.041179895,0.001047134,20.25583887,21.0475111,10158.22811,,,,,,,
20,15,0.779644012,0.049032927,0.004565001,16.03182316,16.8650651,10235.06788,,,,,,,
20,21,0.79172802,0.05123806,0.014834881,15.86918712,16.72698808,10246.59758,,,,,,,
20,27,0.804966927,0.072303057,0.040589809,15.59025812,16.50811791,10255.93816,,,,,,,
20,30,0.83536315,0.100906134,0.063107729,6.078389168,7.07776618,10371.25479,,,,,,,
20,45,0.885421753,0.169567823,0.313997269,7.844700098,9.213686943,10380.67251,,,,,,,
20,60,0.954183817,0.182707787,0.931719065,3.78685236,5.855463028,10502.38168,,,,,,,
20,90,1.044317007,0.372139215,4.879533052,3.102436543,9.398425817,10597.7402,,,,,,,
20,120,1.196975946,0.524710894,15.13159013,2.703918219,19.55719519,10669.87888,,,,,,,
