seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,,,,,
11,3,44.36071205,0.006957054,44.36766911,12337.99447,,,3,41.58814774,0.006825614,41.59497335,10909.74753
11,9,40.23873782,0.006765127,40.24550295,12405.07354,,,9,40.67241094,0.006805921,40.67921686,10943.91662
11,15,39.98163676,0.006572962,39.98820972,12388.57291,,,15,40.28050044,0.006925583,40.28742602,10938.07454
11,21,39.75347924,0.006718874,39.76019812,12383.08856,,,21,40.17817504,0.007332182,40.18550723,10925.76211
11,27,39.68237901,0.006547928,39.68892694,12371.24189,,,27,40.16210136,0.00689857,40.16899993,10907.71738
11,30,40.25654292,0.006671906,40.26321483,12377.99939,,,30,39.99943187,0.007111168,40.00654304,10906.46149
11,45,39.68178892,0.006787062,39.68857598,12269.43528,,,45,39.73156209,0.006948352,39.73851044,10850.77856
11,60,39.26124692,0.006797075,39.26804399,12241.69549,,,60,39.81527121,0.00691824,39.82218945,10794.82548
11,90,38.91127276,0.006994009,38.91826677,12103.22421,,,90,39.29424853,0.007231188,39.30147972,10717.86932
11,120,39.00045896,0.006455183,39.00691414,12022.90153,,,120,39.29436059,0.006772351,39.30113294,10652.68651
12,3,41.20145726,0.006696939,41.2081542,12288.75825,,,,,,,
12,9,41.35593605,0.007173061,41.36310911,12314.89629,,,,,,,
12,15,39.87332416,0.0068717,39.88019586,12309.39076,,,,,,,
12,21,39.96634316,0.006649971,39.97299314,12314.78482,,,,,,,
12,27,39.72575212,0.007673979,39.73342609,12263.58608,,,,,,,
12,30,40.36543107,0.009189844,40.37462091,12334.8433,,,,,,,
12,45,39.60295868,0.006736279,39.60969496,12220.91524,,,,,,,
12,60,39.241045,0.00689292,39.24793792,12219.37437,,,,,,,
12,90,39.23901796,0.006960869,39.24597883,12159.80043,,,,,,,
12,120,39.84550095,0.006524086,39.85202503,12072.31225,,,,,,,
13,3,41.08222413,0.00661087,41.088835,12592.66106,,,,,,,
13,9,40.08811998,0.006741047,40.09486103,12627.64358,,,,,,,
13,15,39.87020111,0.007401943,39.87760305,12599.49097,,,,,,,
13,21,39.72226787,0.006660223,39.72892809,12594.51801,,,,,,,
13,27,40.70626426,0.006641865,40.71290612,12566.63922,,,,,,,
13,30,39.81131697,0.006650209,39.81796718,12441.83743,,,,,,,
13,45,39.44996905,0.006515026,39.45648408,12480.83701,,,,,,,
13,60,39.19587517,0.006805658,39.20268083,12335.6186,,,,,,,
13,90,38.74827075,0.006693125,38.75496387,12274.08729,,,,,,,
13,120,38.58222604,0.006464005,38.58869004,12183.76879,,,,,,,
14,3,40.27625608,0.006568193,40.28282428,8135.469794,,,,,,,
14,9,39.48563004,0.006864786,39.49249482,8130.782429,,,,,,,
14,15,39.5514729,0.006625891,39.55809879,8079.832351,,,,,,,
14,21,40.41592193,0.008570194,40.42449212,8081.805306,,,,,,,
14,27,39.64225388,0.006774187,39.64902806,8085.504051,,,,,,,
14,30,38.87930417,0.006587982,38.88589215,8152.553051,,,,,,,
14,45,38.93895197,0.006798983,38.94575095,8111.351175,,,,,,,
14,60,38.87554288,0.006514072,38.88205695,8008.396149,,,,,,,
14,90,38.44198489,0.006498098,38.44848299,7974.190668,,,,,,,
14,120,39.81212902,0.007340193,39.81946921,7965.81535,,,,,,,
15,3,41.36050701,0.007169008,41.36767602,10897.36896,,,,,,,
15,9,40.44170713,0.00659585,40.44830298,10968.55398,,,,,,,
15,15,41.3770802,0.007171869,41.38425207,10979.03766,,,,,,,
15,21,40.66651702,0.006960869,40.67347789,10950.33645,,,,,,,
15,27,40.28653002,0.006665945,40.29319596,10933.27781,,,,,,,
15,30,40.89294696,0.006747246,40.8996942,10873.39215,,,,,,,
15,45,40.25291109,0.006976128,40.25988722,10861.05438,,,,,,,
15,60,40.56475401,0.00661397,40.57136798,10790.22692,,,,,,,
15,90,39.687819,0.008261204,39.69608021,10701.80908,,,,,,,
15,120,39.2878511,0.008189917,39.29604101,10598.84724,,,,,,,
16,3,41.19376469,0.006895065,41.20065975,12091.20927,,,,,,,
16,9,41.17927623,0.006423712,41.18569994,12112.89483,,,,,,,
16,15,40.18624926,0.006911993,40.19316125,12109.25539,,,,,,,
16,21,40.83324909,0.00801301,40.8412621,12092.48701,,,,,,,
16,27,40.902004,0.00667882,40.90868282,12063.94608,,,,,,,
16,30,40.15186405,0.006636858,40.15850091,12165.27028,,,,,,,
16,45,40.00731897,0.006971121,40.01429009,12015.70943,,,,,,,
16,60,40.65262294,0.008590937,40.66121387,12046.24971,,,,,,,
16,90,40.31739712,0.009514809,40.32691193,11958.51725,,,,,,,
16,120,39.68628359,0.006605148,39.69288874,11878.31222,,,,,,,
17,3,41.66832304,0.006768942,41.67509198,9470.934857,,,,,,,
17,9,42.07326412,0.006562948,42.07982707,9496.438857,,,,,,,
17,15,40.65830708,0.007153988,40.66546106,9493.736253,,,,,,,
17,21,40.503829,0.008553982,40.51238298,9462.290392,,,,,,,
17,27,40.26033783,0.006511211,40.26684904,9455.391796,,,,,,,
17,30,40.78983235,0.008088827,40.79792118,9483.241228,,,,,,,
17,45,40.66398811,0.008877039,40.67286515,9407.756019,,,,,,,
17,60,40.40897989,0.006644964,40.41562486,9361.656706,,,,,,,
17,90,39.76708698,0.007501125,39.77458811,9310.862677,,,,,,,
17,120,39.67105222,0.00643301,39.67748523,9249.329455,,,,,,,
18,3,41.12534714,0.006616116,41.13196325,10402.80021,,,,,,,
18,9,40.95167899,0.006549835,40.95822883,10446.80717,,,,,,,
18,15,40.3224659,0.007054806,40.3295207,10455.2707,,,,,,,
18,21,39.9264729,0.00675416,39.93322706,10457.64241,,,,,,,
18,27,40.75229812,0.007965088,40.7602632,10415.68575,,,,,,,
18,30,39.8179729,0.006947041,39.82491994,10451.98813,,,,,,,
18,45,39.76337314,0.006677866,39.770051,10347.34338,,,,,,,
18,60,40.20823193,0.006865025,40.21509695,10305.04155,,,,,,,
18,90,39.33464289,0.006524801,39.34116769,10216.36918,,,,,,,
18,120,39.14710879,0.006527901,39.15363669,10209.23009,,,,,,,
19,3,41.92258883,0.007234097,41.92982292,10582.93983,,,,,,,
19,9,40.4372921,0.00678277,40.44407487,10600.4475,,,,,,,
19,15,41.06956697,0.006641865,41.07620883,10589.44841,,,,,,,
19,21,40.25584817,0.00754571,40.26339388,10580.91788,,,,,,,
19,27,40.00595117,0.006884813,40.01283598,10585.01294,,,,,,,
19,30,39.7311151,0.006680965,39.73779607,10513.98277,,,,,,,
