seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,,,,,,
11,60,1.042774916,0.234737158,0.953529119,11.95195174,14.18299294,11935.73208,,60,0.954117393,0.187830925,0.946418309,13.65690928,15.7452759,10895.30266
12,60,0.937726974,0.168700218,0.957324743,12.01586604,14.07961798,11971.82083,,,,,,,,
13,60,0.917537212,0.108378172,0.885320902,12.04817581,13.9594121,12083.07898,,,,,,,,
14,60,0.932539701,0.228833914,0.993404865,19.69492531,21.84970379,8781.851281,,,,,,,,
15,60,0.963539839,0.188188076,0.92393589,5.429548979,7.505212784,11080.91366,,,,,,,,
16,60,0.943840027,0.152166843,0.913701057,11.94962311,13.95933104,11878.62025,,,,,,,,
17,60,0.948836088,0.222744942,0.994972944,17.01516819,19.18172216,9775.54093,,,,,,,,
18,60,0.98333621,0.187314987,0.930204868,20.35395098,22.45480704,10416.00252,,,,,,,,
19,60,0.927800179,0.213342905,0.950124025,14.43128705,16.52255416,10612.85702,,,,,,,,
20,60,0.943242788,0.173902035,0.961664677,11.67859554,13.75740504,10416.60907,,,,,,,,
