seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,,,,,,
11,60,0.988178968,0.225589991,0.965821981,8.436531067,10.61612201,11932.76052,,60,0.94455142,0.176747632,0.837734032,14.15410247,16.11313555,10853.38188
12,60,0.905008793,0.166119099,0.843384027,17.98761678,19.9021287,11874.04232,,,,,,,,
13,60,0.93045187,0.100211382,0.664857149,11.74070048,13.43622088,12033.57213,,,,,,,,
14,60,0.9246521,0.146153927,0.902241945,19.96894789,21.94199586,8759.907662,,,,,,,,
15,60,0.947502851,0.17406106,0.81430912,5.570768118,7.50664115,11041.81378,,,,,,,,
16,60,0.929120064,0.143070936,0.775226116,11.71352577,13.56094289,11828.15472,,,,,,,,
17,60,0.966325998,0.21998167,0.836969852,16.89784551,18.92112303,9753.603707,,,,,,,,
18,60,0.943189621,0.20663023,0.923844814,20.71964025,22.79330492,10386.75299,,,,,,,,
19,60,0.922261,0.207519054,0.822543144,14.99689674,16.94921994,10558.43469,,,,,,,,
20,60,0.988822937,0.178138971,0.828142166,13.50855207,15.50365615,10364.77623,,,,,,,,
