seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost
11,3,0.86529994,0.017910957,0.000109911,1.093178034,1.976498842,15255.38118,,3,0.774277544,0.016389775,0.000417423,1.099459887,1.890544629,15226.77505
11,9,0.803667068,0.041000843,0.001087904,1.091717958,1.937473774,15292.44935,,9,0.779676628,0.028216577,0.000839543,1.099076056,1.907808805,15252.42118
11,15,0.798995018,0.043080091,0.005985975,1.090860844,1.938921928,15324.7357,,15,0.7835109,0.048404813,0.004867983,1.106197953,1.942981648,15278.19574
11,21,0.811298609,0.048687935,0.015109062,1.091332197,1.966427803,15351.78149,,21,0.814366031,0.066305637,0.016239071,1.106907964,2.003818703,15306.79223
11,27,0.828282833,0.071770191,0.046222925,1.091875792,2.038151741,15376.46211,,27,0.829038954,0.084058619,0.044730306,1.110270834,2.068098712,15321.26317
11,30,0.839903116,0.100632668,0.069235802,1.096080303,2.105851889,15378.52157,,30,0.83770504,0.097410059,0.067078876,1.109353471,2.111547446,15336.50868
11,45,0.889959097,0.132850885,0.301913977,1.111711979,2.436435938,15453.95542,,45,0.886861873,0.148950005,0.322373128,1.120925593,2.479110599,15362.64947
11,60,1.066962957,0.208600044,1.057407856,1.12447238,3.457443237,15514.06534,,60,0.949814463,0.212417531,0.987419033,1.130212426,3.279863453,15412.38298
11,90,1.107702971,0.406049013,4.967685938,1.177027225,7.658465147,15581.90782,,90,1.212369609,0.367434144,4.935144114,1.151931524,7.666879392,15475.57381
11,120,1.238372803,0.507202148,15.58531713,1.197820663,18.52871275,15607.92145,,120,1.228060985,0.538160324,14.69886358,1.176967621,17.64205251,15540.64787
12,3,0.792656898,0.026196957,0.000691891,1.148144245,1.967689991,15287.36063,,,,,,,,
12,9,0.782317877,0.042868853,0.000967979,1.098875523,1.925030231,15355.00939,,,,,,,,
12,15,0.806466103,0.05693388,0.005225897,1.106626034,1.975251913,15366.95736,,,,,,,,
12,21,0.841638088,0.074975967,0.016163826,1.103111267,2.035889149,15367.0936,,,,,,,,
12,27,0.862483263,0.090250969,0.045783043,1.113055706,2.111572981,15433.64255,,,,,,,,
12,30,0.854738951,0.098894119,0.064883947,1.134835958,2.153352976,15466.90329,,,,,,,,
12,45,0.926494837,0.153078079,0.319728136,1.118941069,2.518242121,15467.349,,,,,,,,
12,60,0.989180803,0.220777035,0.992817163,1.129529953,3.332304955,15538.68261,,,,,,,,
12,90,1.100980997,0.377846718,4.958959103,1.154489279,7.592276096,15564.54944,,,,,,,,
12,120,1.292937994,0.568560123,14.18127012,1.236962795,17.27973104,15631.78352,,,,,,,,
13,3,0.768332005,0.011499166,0.000423908,1.104979753,1.885234833,15300.92393,,,,,,,,
13,9,0.78092885,0.013315201,0.000808954,1.115358114,1.910411119,15301.65061,,,,,,,,
13,15,0.792454958,0.02427125,0.004251957,1.128738165,1.94971633,15318.66413,,,,,,,,
