seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost
11,1,1.213160992,0.337564945,6.72E-05,2.242722988,3.793516159,12426.81188,,average,1.085305142,0.357159352,0.00030055,2.774316406,4.217081451,12411.72885
11,2,1.135046005,0.349538088,2.409943104,3.664161921,7.558689117,12227.86796,,,1.097399068,0.344215417,2.358207917,5.844000435,9.643822837,12172.85833
11,3,1.109215975,0.382990122,4.850995779,9.483333349,15.82653522,12059.77671,,,1.095192409,0.366880608,4.880189896,9.705686879,16.04794979,12066.60752
11,4,1.081092834,0.3594203,7.175024986,12.65228081,21.26781893,12019.08396,,,1.089357018,0.357734513,7.327641177,13.00170531,21.77643802,12000.40006
11,5,1.09329915,0.321125031,8.924530745,12.45891833,22.79787326,11972.08671,,,1.066163516,0.365589786,10.20363233,13.89183004,25.52721567,11969.57493
12,1,1.050559998,0.371268034,0.000386715,3.094426155,4.516640902,12373.47579,,,,,,,,
12,2,1.074892998,0.370194197,2.337810993,5.885130882,9.66802907,12179.01593,,,,,,,,
12,3,1.136392117,0.403109789,4.790418148,11.72645807,18.05637813,12011.8721,,,,,,,,
12,4,1.095017195,0.382463932,7.226058006,9.992971659,18.69651079,12003.05637,,,,,,,,
12,5,1.039113998,0.360658884,10.11396408,7.968856812,19.48259377,12011.9207,,,,,,,,
13,1,1.077270031,0.392403841,0.000355959,2.497950315,3.967980146,12494.63443,,,,,,,,
13,2,1.081768036,0.295568228,2.286554813,4.67651701,8.340408087,12263.56276,,,,,,,,
13,3,1.060082912,0.36394906,4.758758068,7.222975016,13.40576506,12133.70026,,,,,,,,
13,4,1.062338829,0.298085213,6.881592989,7.141998768,15.3840158,12100.51198,,,,,,,,
13,5,1.056824923,0.341300964,9.597517729,14.35452533,25.35016894,12040.92373,,,,,,,,
14,1,1.05034399,0.397694349,0.000393867,2.132163763,3.58059597,12344.80908,,,,,,,,
14,2,1.141971111,0.383939743,2.44801712,4.686455011,8.660382986,12097.77663,,,,,,,,
14,3,1.093459845,0.370393038,5.08386898,7.017075062,13.56479692,12047.91416,,,,,,,,
14,4,1.070887804,0.368297815,8.023567677,8.764341831,18.22709513,11968.78192,,,,,,,,
14,5,1.030601978,0.365142107,11.10138535,11.13361549,23.63074493,11903.47727,,,,,,,,
15,1,1.063585997,0.293084145,0.000329018,2.823173046,4.180172205,12294.97968,,,,,,,,
15,2,1.055237055,0.290954113,2.285600901,4.981762886,8.613554955,12076.33927,,,,,,,,
15,3,1.132907152,0.305273056,4.618299007,6.16113472,12.21761394,12005.65016,,,,,,,,
15,4,1.071810246,0.313566923,6.860625982,11.63504171,19.88104486,11924.6287,,,,,,,,
15,5,1.063800097,0.345693827,9.541927814,10.07087922,21.02230096,11884.53206,,,,,,,,
16,1,1.111180782,0.339756012,0.000292063,3.541375399,4.992604256,12424.02414,,,,,,,,
16,2,1.104588032,0.339375973,2.441251993,5.96365428,9.848870277,12200.25855,,,,,,,,
16,3,1.039436102,0.383835077,4.988421917,16.62016797,23.03186107,12022.38757,,,,,,,,
16,4,1.125126123,0.370041132,7.075844288,17.31774449,25.88875604,11994.36494,,,,,,,,
16,5,1.096264124,0.409316778,10.35175824,18.54892087,30.40626001,11975.72528,,,,,,,,
17,1,1.055913925,0.360257149,0.000270844,2.986433029,4.402874947,12361.99827,,,,,,,,
17,2,1.102267981,0.347983837,2.256103277,6.999216795,10.70557189,12118.70908,,,,,,,,
17,3,1.065511942,0.39292407,4.90949297,6.751837015,13.119766,12077.07445,,,,,,,,
17,4,1.125494003,0.391475201,7.613838911,18.25495768,27.38576579,11938.28443,,,,,,,,
17,5,1.08381629,0.353987694,10.81870008,13.29324126,25.54974532,11970.56186,,,,,,,,
18,1,1.058036804,0.356197119,0.000339985,2.662058115,4.076632023,12515.77495,,,,,,,,
18,2,1.08527112,0.359611988,2.432342052,5.075925827,8.953150988,12287.69724,,,,,,,,
18,3,1.099447966,0.359290123,4.751126051,8.759306669,14.96917081,12206.1786,,,,,,,,
18,4,1.087582111,0.374922037,7.11093998,8.06306982,16.63651395,12168.71681,,,,,,,,
18,5,1.073165178,0.401525974,9.720489979,12.6414547,23.83663583,12082.41417,,,,,,,,
19,1,1.048346996,0.367914915,0.000305891,3.23145318,4.648020983,12393.07757,,,,,,,,
19,2,1.107355356,0.342808962,2.328487873,5.982986689,9.76163888,12142.42241,,,,,,,,
19,3,1.056872845,0.335377932,4.871462822,9.115379333,15.37909293,12057.78256,,,,,,,,
19,4,1.070940256,0.368760824,7.551824808,19.48966098,28.48118687,11900.45677,,,,,,,,
19,5,1.083773136,0.409792662,11.6393683,20.56362772,33.69656181,11864.85894,,,,,,,,
20,1,1.124651909,0.355453014,0.000263929,2.531408072,4.011776924,12487.70274,,,,,,,,
20,2,1.085592985,0.362179041,2.355967045,10.52419305,14.32793212,12134.93349,,,,,,,,
20,3,1.158597231,0.371663809,5.179055214,14.19920158,20.90851784,12043.73869,,,,,,,,
20,4,1.103280783,0.350311756,7.757094145,16.70498538,25.91567206,11986.11467,,,,,,,,
20,5,1.040976286,0.347353935,10.22668099,17.88426065,29.49927187,11989.24856,,,,,,,,
