seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost
11,1,1.296714067,0.322474003,7.61E-05,2.377847672,3.997111797,12321.72804,,average,1.1090446,0.358133531,0.000314426,2.972760653,4.44025321,12319.82323
11,2,1.200092077,0.287471056,2.144138098,4.148679733,7.780380964,12135.40138,,,1.142489815,0.330724049,2.114715552,7.211189389,10.7991188,12108.98878
11,3,1.03964901,0.362800837,4.67655015,11.98575306,18.06475306,11994.704,,,1.133848739,0.374662066,4.473459363,11.02517242,17.00714259,12010.31812
11,4,1.259431839,0.360844612,6.600148201,14.18566656,22.40609121,11965.0291,,,1.126672673,0.359321356,6.606726956,13.03004613,21.12276711,11976.97216
11,5,1.296852112,0.338078976,8.92876792,9.882729292,20.4464283,11965.6267,,,1.138248515,0.366224647,9.386926866,15.03407602,25.92547605,11944.47037
12,1,1.175786018,0.373170853,0.000359774,3.177981377,4.727298021,12307.73017,,,,,,,,
12,2,1.259891987,0.386533976,2.347799063,8.638480902,12.63270593,12112.19688,,,,,,,,
12,3,1.170299292,0.403796911,4.931438684,12.67764902,19.18318391,11973.30704,,,,,,,,
12,4,1.214692831,0.398960114,7.028627157,12.76240611,21.40468621,11979.02388,,,,,,,,
12,5,1.191956043,0.363579988,9.805831909,8.659219027,20.02058697,11998.63416,,,,,,,,
13,1,1.151812792,0.355710983,0.000361204,2.639729023,4.147614002,12404.51233,,,,,,,,
13,2,1.193022966,0.304886103,2.015578032,5.42942071,8.94290781,12197.14866,,,,,,,,
13,3,1.17077899,0.367978811,4.287758112,8.596888065,14.42340398,12077.1006,,,,,,,,
13,4,1.044614792,0.285809994,5.870356798,7.50425148,14.70503306,12072.75222,,,,,,,,
13,5,1.049320936,0.333450794,8.247748852,14.01484919,23.64536977,12015.62617,,,,,,,,
14,1,1.030350924,0.34271121,0.000306129,2.214023829,3.587392092,12271.64238,,,,,,,,
14,2,1.062781811,0.348891258,2.274405956,9.045856953,12.73193598,12002.72451,,,,,,,,
14,3,1.027922869,0.362648249,4.307093859,6.34811902,12.045784,11995.31678,,,,,,,,
14,4,1.044301987,0.361220837,6.32170105,7.289791107,15.01701498,11960.89867,,,,,,,,
14,5,1.054041862,0.358917236,9.814470053,8.574882984,19.80231214,11919.96641,,,,,,,,
15,1,1.029934883,0.286432028,0.000349998,2.846707106,4.163424015,12184.34781,,,,,,,,
15,2,1.016628027,0.281173944,1.783017874,4.696933985,7.77775383,12021.67368,,,,,,,,
15,3,1.073812008,0.301856995,3.955867052,7.044938803,12.37647486,11951.69313,,,,,,,,
15,4,1.06936121,0.317725897,6.20024085,10.36491394,17.9522419,11882.2067,,,,,,,,
15,5,1.069633245,0.334629059,8.137506723,12.58606982,22.12783885,11823.5179,,,,,,,,
16,1,1.025761127,0.309473038,0.0003438,4.155911922,5.491489887,12335.41267,,,,,,,,
16,2,1.072260141,0.344733,2.085350037,6.690897942,10.19324112,12141.86723,,,,,,,,
16,3,1.151216984,0.403229952,4.536931992,14.78468513,20.87606406,12020.71273,,,,,,,,
16,4,1.067250252,0.365207672,6.314460754,15.97487926,23.72179794,12011.55453,,,,,,,,
16,5,1.297078133,0.472298145,10.195822,20.96020389,32.92540216,11955.9262,,,,,,,,
17,1,1.236180067,0.552010059,0.000363111,3.351897955,5.140451193,12285.85502,,,,,,,,
17,2,1.198125601,0.334853172,2.108639956,7.657908201,11.29952693,12084.75127,,,,,,,,
17,3,1.383281231,0.479459763,4.450002909,9.770079136,16.08282304,11987.53936,,,,,,,,
17,4,1.134885788,0.426596165,6.798221827,19.6230073,27.98271108,11900.35807,,,,,,,,
17,5,1.082364798,0.348777056,10.23692703,16.73002911,28.39809799,11933.41244,,,,,,,,
18,1,1.073871851,0.338059902,0.000328064,2.767230272,4.179490089,12422.76313,,,,,,,,
18,2,1.033790827,0.334483862,2.025974035,11.84733868,15.2415874,12148.28577,,,,,,,,
18,3,1.148206949,0.36033988,4.341086864,12.02577043,17.87540412,12114.85632,,,,,,,,
18,4,1.129132032,0.366160154,6.704844952,10.48919177,18.68932891,12105.36655,,,,,,,,
18,5,1.214710951,0.374973059,8.544938087,19.49058199,29.62520409,12001.08169,,,,,,,,
19,1,1.042536974,0.315540075,0.000323057,3.340694904,4.699095011,12279.10244,,,,,,,,
19,2,1.32266593,0.354037046,2.24701333,4.724336863,8.648053169,12145.59316,,,,,,,,
19,3,1.084556103,0.334422112,4.315687895,11.04077077,16.77543688,11992.24795,,,,,,,,
19,4,1.046499968,0.359558105,6.657644987,15.48943472,23.55313778,11903.91459,,,,,,,,
19,5,1.066282988,0.406847,10.74703598,20.44749308,32.66765904,11862.43895,,,,,,,,
20,1,1.027497292,0.385753155,0.000333071,2.855582476,4.269165993,12385.13832,,,,,,,,
20,2,1.065638781,0.330177069,2.115239143,9.232039928,12.74309492,12100.24527,,,,,,,,
20,3,1.088763952,0.370087147,4.932176113,15.97707081,22.36809802,11995.70334,,,,,,,,
20,4,1.256556034,0.351130009,7.571022987,16.61691904,25.79562807,11988.61725,,,,,,,,
20,5,1.060244083,0.330695152,9.210220098,18.99470186,29.5958612,11968.47302,,,,,,,,
