seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,,,,,,
11,1,1.268706083,0.346103907,6.79E-05,2.231194019,3.846071959,12426.81188,,,1.115155005,0.354110122,0.000313616,2.820567393,4.290146136,12411.72885
11,2,1.113661051,0.31485486,2.329702139,2.561500788,6.319718838,12423.60133,,,1.130779862,0.340641761,2.368051171,3.069477201,6.908949995,12414.55743
11,3,1.079604387,0.367076159,4.939303875,2.417496681,8.803481102,12442.34636,,,1.117256045,0.376451302,5.018280959,2.833865833,9.345854139,12435.38415
11,4,1.109856129,0.361936808,7.249273062,2.135892868,10.85695887,12499.95822,,,1.118537116,0.375441718,7.493994212,2.860059476,11.84803252,12448.43095
11,5,1.071235657,0.319600105,9.050192833,2.293765306,12.7347939,12457.81369,,,1.085144567,0.368784094,10.4703702,3.050468731,14.97476759,12436.8004
12,1,1.058554888,0.370547056,0.000374079,3.092298269,4.521774292,12373.47579,,,,,,,,
12,2,1.079081297,0.37658,2.348567963,2.832934856,6.637164116,12437.76748,,,,,,,,
12,3,1.063055992,0.405406952,4.989119053,2.611492157,9.069074154,12467.36611,,,,,,,,
12,4,1.084227085,0.38959384,7.504440069,2.45292902,11.43119001,12498.23642,,,,,,,,
12,5,1.036713839,0.361634016,10.38284111,2.40482688,14.18601584,12498.18642,,,,,,,,
13,1,1.062858105,0.361352921,0.000325918,2.494175911,3.918712854,12494.63443,,,,,,,,
13,2,1.051063061,0.294476032,2.382519007,2.673197031,6.401255131,12504.11707,,,,,,,,
13,3,1.102677822,0.370841026,4.841882706,3.028921604,9.344323158,12454.16383,,,,,,,,
13,4,1.055201054,0.302731752,7.000241041,2.846516132,11.20468998,12467.04844,,,,,,,,
13,5,1.040874958,0.348572969,9.798833847,2.936984301,14.12526608,12482.5889,,,,,,,,
14,1,1.066114187,0.351572037,0.000304222,2.129270554,3.547261,12344.80908,,,,,,,,
14,2,1.08042717,0.360259771,2.413964033,2.665076256,6.51972723,12343.07193,,,,,,,,
14,3,1.028778076,0.367405891,5.155761957,2.217971087,8.769917011,12375.22928,,,,,,,,
14,4,1.117022991,0.370874882,8.102505922,1.985469341,11.57587314,12406.24408,,,,,,,,
14,5,1.039796114,0.364566088,11.42483926,2.079311609,14.90851307,12387.29155,,,,,,,,
15,1,1.182623863,0.306514025,0.00034523,3.043996811,4.533479929,12294.97968,,,,,,,,
15,2,1.222223997,0.278052092,2.25167799,3.248366833,7.000320911,12281.59255,,,,,,,,
15,3,1.188312054,0.331017971,4.899204016,3.093021154,9.511555195,12316.55836,,,,,,,,
15,4,1.136539936,0.323046923,7.223095179,3.278202057,11.96088409,12320.61971,,,,,,,,
15,5,1.145619869,0.360425949,10.01060605,2.85100317,14.36765504,12329.07971,,,,,,,,
16,1,1.106054068,0.35057807,0.000283957,3.582824945,5.039741039,12424.02414,,,,,,,,
16,2,1.214553833,0.378257036,2.509968042,3.424175024,7.526953936,12421.1194,,,,,,,,
16,3,1.093585014,0.418131828,5.147763968,2.789469242,9.448950052,12471.33806,,,,,,,,
16,4,1.201412916,0.411761999,7.334359884,3.662581205,12.610116,12458.4501,,,,,,,,
16,5,1.159084082,0.419178963,10.80097699,4.938084126,17.31732416,12437.30704,,,,,,,,
17,1,1.127883911,0.380733967,0.000324965,3.147519112,4.656461954,12361.99827,,,,,,,,
17,2,1.134639025,0.3514359,2.321341276,4.680952549,8.48836875,12338.16229,,,,,,,,
17,3,1.208008289,0.399386883,5.019433975,3.007234812,9.634063959,12415.63905,,,,,,,,
17,4,1.138166904,0.42228508,7.756513119,3.455526829,12.77249193,12400.89006,,,,,,,,
17,5,1.19294405,0.377011061,11.14613891,3.409274817,16.12536883,12396.57536,,,,,,,,
18,1,1.166031837,0.358834982,0.000405073,2.728855133,4.254127026,12515.77495,,,,,,,,
18,2,1.168079138,0.340414286,2.463492155,2.52065444,6.492640018,12551.23627,,,,,,,,
18,3,1.217269897,0.37517333,4.982024908,2.751806736,9.326274872,12553.48046,,,,,,,,
18,4,1.173690081,0.444952011,7.402114153,2.638657808,11.65941405,12556.20544,,,,,,,,
18,5,1.064441919,0.383516788,9.851468086,3.561000109,14.8604269,12501.21221,,,,,,,,
19,1,1.057467937,0.324599028,0.000381947,3.206259012,4.588707924,12393.07757,,,,,,,,
19,2,1.084515095,0.36084199,2.288532019,2.464463711,6.198352814,12432.60617,,,,,,,,
19,3,1.04769206,0.339214087,4.920850992,3.281455755,9.589212894,12415.79003,,,,,,,,
19,4,1.079476833,0.371837139,7.520806789,2.882363558,11.85448432,12397.80486,,,,,,,,
19,5,1.042244911,0.409170151,11.7798028,2.605144262,15.83636212,12401.6681,,,,,,,,
20,1,1.055255175,0.390265226,0.000322819,2.549280167,3.995123386,12487.70274,,,,,,,,
20,2,1.159554958,0.351245642,2.370747089,3.623450518,7.504998207,12412.29979,,,,,,,,
20,3,1.14357686,0.390858889,5.287464142,3.139789104,9.961688995,12441.92995,,,,,,,,
20,4,1.089777231,0.355396748,7.846592903,3.26245594,12.55422282,12478.85213,,,,,,,,
20,5,1.058490276,0.344164848,10.45800209,3.42529273,15.28594995,12476.28107,,,,,,,,
