seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost
11,1,1.240023136,0.328444242,7.08E-05,2.344244957,3.912783146,12321.72804,,average,1.187383437,0.369610119,0.000324941,3.040256238,4.597574735,12319.82323
11,2,1.137888908,0.303607702,2.16269207,2.80303812,6.407226801,12329.99391,,,1.144308019,0.349210596,2.137054968,3.215415812,6.845989394,12327.64661
11,3,1.045551062,0.365777016,4.58936286,2.564894915,8.565585852,12373.10755,,,1.136309409,0.366695356,4.533420634,3.008645558,9.045070958,12339.3434
11,4,1.110732079,0.370954037,6.607465982,2.404482603,10.4936347,12397.48362,,,1.161150289,0.364135504,6.675377703,2.968804312,11.16946781,12357.88665
11,5,1.321256876,0.309102058,8.730907917,2.356553316,12.71782017,12381.37463,,,1.197273183,0.380339146,9.578908205,3.222004485,14.37852502,12351.39541
12,1,1.077024937,0.360957146,0.000329971,3.110754967,4.54906702,12307.73017,,,,,,,,
12,2,1.057523966,0.365766048,2.128620863,2.891654968,6.443565845,12345.79618,,,,,,,,
12,3,1.030972004,0.391124964,4.772871017,2.607347012,8.802314997,12392.57123,,,,,,,,
12,4,1.061947823,0.383336306,6.528243065,2.458506823,10.43203402,12409.73472,,,,,,,,
12,5,1.177068949,0.358714104,9.379153013,2.42091918,13.33585525,12407.04503,,,,,,,,
13,1,1.024862051,0.341872931,0.000319004,2.507828951,3.874882936,12404.51233,,,,,,,,
13,2,1.220201969,0.292137861,2.049749851,2.896199226,6.458288908,12406.46541,,,,,,,,
13,3,1.184041023,0.378103018,4.380228758,3.165854216,9.108227015,12325.05027,,,,,,,,
13,4,1.146881104,0.289441109,6.066141129,3.080159664,10.582623,12358.86017,,,,,,,,
13,5,1.245871305,0.364758015,8.849684954,3.372543812,13.83285809,12397.84173,,,,,,,,
14,1,1.160703897,0.355595112,0.000322104,2.276753664,3.793374777,12271.64238,,,,,,,,
14,2,1.1597929,0.398348093,2.357357025,2.820425749,6.735923767,12299.9697,,,,,,,,
14,3,1.066518068,0.333405972,4.491793871,2.438692093,8.330410004,12319.92528,,,,,,,,
14,4,1.317001104,0.341076136,6.641619205,2.178645849,10.47834229,12336.93349,,,,,,,,
14,5,1.17719388,0.389460802,10.54399014,2.226423025,14.33706784,12337.64817,,,,,,,,
15,1,1.242086887,0.297455072,0.000344038,2.972193956,4.512079954,12184.34781,,,,,,,,
15,2,1.083858967,0.268227816,1.927371025,3.188182116,6.467639923,12192.35136,,,,,,,,
15,3,1.20033288,0.295563936,4.140900135,3.265850067,8.902647018,12198.63222,,,,,,,,
15,4,1.085882902,0.323825121,6.324040174,3.303277016,11.03702521,12211.21783,,,,,,,,
15,5,1.235259056,0.370447159,8.804677725,2.95942688,13.36981082,12231.72612,,,,,,,,
16,1,1.288897038,0.33409214,0.000388861,4.597211123,6.220589161,12335.41267,,,,,,,,
16,2,1.27337122,0.410135031,2.123831034,3.315364838,7.122702122,12340.71583,,,,,,,,
16,3,1.207919836,0.419846058,4.822361708,3.242394447,9.692522049,12374.16959,,,,,,,,
16,4,1.13409996,0.387355089,6.740141153,3.841327667,12.10292387,12386.84384,,,,,,,,
16,5,1.275650024,0.473182201,10.46779895,5.296656847,17.51328802,12344.07799,,,,,,,,
17,1,1.311976194,0.37109971,0.000399828,3.26211834,4.945594072,12285.85502,,,,,,,,
17,2,1.101466894,0.370751858,1.998343945,4.585401058,8.055963755,12262.46527,,,,,,,,
17,3,1.085291147,0.381875038,4.39487195,3.051371574,8.91340971,12310.96763,,,,,,,,
17,4,1.240612984,0.424906015,6.811635017,3.349519968,11.82667398,12318.96766,,,,,,,,
17,5,1.14744091,0.36562109,10.11761618,3.365963936,14.99664211,12337.82345,,,,,,,,
18,1,1.134012938,0.445559978,0.000365019,2.877371311,4.457309246,12422.76313,,,,,,,,
18,2,1.115152121,0.312942743,2.051741838,3.403558969,6.883395672,12424.53919,,,,,,,,
18,3,1.196779966,0.380010366,4.511563063,3.193283558,9.281636953,12415.53601,,,,,,,,
18,4,1.234511137,0.372336149,6.700743914,2.849222898,11.1568141,12466.03986,,,,,,,,
18,5,1.157065868,0.423541069,8.678372145,3.97991395,14.23889303,12376.55007,,,,,,,,
19,1,1.157476187,0.370864868,0.000303745,3.588915348,5.117560148,12279.10244,,,,,,,,
19,2,1.229018211,0.410523891,2.295702934,2.685276031,6.620521069,12345.80714,,,,,,,,
19,3,1.25724411,0.351074219,4.37676692,3.398854733,9.383939981,12319.35043,,,,,,,,
19,4,1.093996763,0.374678135,6.826747179,2.919264793,11.21468687,12332.4996,,,,,,,,
19,5,1.155298948,0.41770196,10.99890113,2.878478765,15.4503808,12329.22782,,,,,,,,
20,1,1.236771107,0.490159988,0.000406027,2.865169764,4.592506886,12385.13832,,,,,,,,
20,2,1.064805031,0.359664917,2.275139093,3.565057039,7.26466608,12328.36213,,,,,,,,
20,3,1.088443995,0.370172977,4.853486061,3.15791297,9.470016003,12364.12381,,,,,,,,
20,4,1.18583703,0.373446941,7.507000208,3.303635836,12.36992002,12360.28567,,,,,,,,
20,5,1.080626011,0.330862999,9.217979908,3.36316514,13.99263406,12370.6391,,,,,,,,
